counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,694924,ud,2,2,20.84146085272146,2,0,0,0,3,29,12.0
2,694933,ud,2,3,20.54373531859063,1,0,0,0,2,29,12.0
3,694945,ud,2,1,19.80670145966711,1,0,0,0,2,29,12.0
4,694893,hl,2,1,74.15971172775508,0,23,0,0,20,29,12.0
5,694649,cd,1,12,2.089956631019832,0,0,2,2,2,29,12.0
6,694664,cd,1,4,1.6375544672934677,0,0,2,1,2,29,12.0
7,694671,cd,1,6,1.7583832175649219,0,0,3,1,3,29,12.0
8,694656,cd,1,14,2.664153040331838,0,0,3,2,3,29,12.0
9,694679,cd,1,8,2.4827676180819056,0,0,4,1,4,29,12.0
10,694688,cd,1,3,1.3017981841766797,0,0,2,1,2,29,12.0
11,694695,cd,1,9,3.6981518573797763,0,0,6,1,6,29,12.0
12,694715,cd,1,5,1.8306307764103307,0,0,3,1,3,29,12.0
13,694706,cd,1,7,2.852938706591339,0,0,4,1,4,29,12.0
14,694730,cd,1,2,1.084194956517683,0,0,2,1,2,29,12.0
15,694723,cd,1,15,1.856572069283736,0,0,2,5,2,29,12.0
16,694744,cd,2,13,36.72911185717744,0,0,3,2,3,29,12.0
17,694737,cd,1,11,1.092846224187915,0,0,2,2,2,29,12.0
18,694766,cd,2,10,24.00017636614635,0,0,2,2,2,29,12.0
19,694752,cd,2,16,25.47424408399339,0,0,2,8,2,29,12.0
20,694759,cd,2,1,19.24036320398654,0,0,2,1,2,29,12.0
