counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,737423,ud,2,2,21.113845760266635,2,0,0,0,3,29,13.0
2,737432,ud,2,3,20.823776074036296,1,0,0,0,2,29,13.0
3,737444,ud,2,1,20.066408727160564,1,0,0,0,2,29,13.0
4,737392,hl,2,1,74.9575323601558,0,23,0,0,20,29,13.0
5,737147,cd,1,12,2.9731184276970515,0,0,5,1,5,29,13.0
6,737140,cd,1,16,1.039274450671513,0,0,2,2,2,29,13.0
7,737157,cd,1,13,3.8039666098871288,0,0,7,1,7,29,13.0
8,737176,cd,1,11,2.406662148527366,0,0,4,1,4,29,13.0
9,737169,cd,1,4,1.287782355821167,0,0,2,1,2,29,13.0
10,737193,cd,1,3,1.5758139663372883,0,0,2,1,2,29,13.0
11,737185,cd,1,8,1.7447165294522564,0,0,3,1,3,29,13.0
12,737208,cd,1,15,1.8688191202106261,0,0,2,2,2,29,13.0
13,737215,cd,1,10,2.7211956995099817,0,0,4,1,4,29,13.0
14,737200,cd,1,7,1.6710525676395958,0,0,3,1,3,29,13.0
15,737224,cd,1,6,1.9422323434201707,0,0,3,1,3,29,13.0
16,737246,cd,2,9,42.129687077383764,0,0,4,1,4,29,13.0
17,737232,cd,1,2,1.2196937256157017,0,0,2,1,2,29,13.0
18,737239,cd,2,18,36.63479784052938,0,0,2,8,2,29,13.0
19,737262,cd,2,5,24.601122194203786,0,0,3,1,3,29,13.0
20,737255,cd,2,1,19.58836788666057,0,0,2,1,2,29,13.0
21,737277,cd,2,17,29.334549995371255,0,0,3,2,3,29,13.0
22,737270,cd,2,14,24.321795687828043,0,0,2,2,2,29,13.0
