counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,827469,ud,2,3,20.280776561418882,1,0,0,0,2,30,13.0
2,827487,ud,2,2,19.652111059918816,1,0,0,0,2,30,13.0
3,827478,ud,2,1,20.65352290751444,2,0,0,0,3,30,13.0
4,827436,hl,2,1,75.52659107382027,0,25,0,0,22,30,13.0
5,827230,cd,1,10,2.6921254937047268,0,0,4,1,4,30,13.0
6,827222,cd,1,8,2.4175443135216588,0,0,3,1,3,30,13.0
7,827246,cd,1,5,1.8485561221859392,0,0,2,1,2,30,13.0
8,827239,cd,1,13,1.5807737057582152,0,0,2,2,2,30,13.0
9,827260,cd,1,7,1.752622208904318,0,0,3,1,3,30,13.0
10,827253,cd,1,4,1.653715384557304,0,0,2,1,2,30,13.0
11,827277,cd,1,3,1.2102586122935257,0,0,2,1,2,30,13.0
12,827268,cd,1,9,2.3216104002400377,0,0,4,1,4,30,13.0
13,827291,cd,1,2,1.0788916285438084,0,0,2,1,2,30,13.0
14,827284,cd,1,12,1.0875250787468704,0,0,2,2,2,30,13.0
15,827305,cd,2,6,26.7891926597213,0,0,3,1,3,30,13.0
16,827298,cd,2,1,19.158883597363012,0,0,2,1,2,30,13.0
17,827321,cd,2,11,23.736353945305655,0,0,2,2,2,30,13.0
18,827313,cd,2,14,36.495882415963,0,0,3,2,3,30,13.0
