counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,58300,ud,2,2,18.997281585890136,2,0,0,0,3,52,12.0
2,58312,ud,2,4,15.08534959140496,1,0,0,0,2,52,12.0
3,58321,ud,2,1,7.44398387102877,1,0,0,0,2,52,12.0
4,58330,ud,2,3,5.950756577593935,1,0,0,0,2,52,12.0
5,58233,hl,1,2,8.597430719715936,0,29,0,0,29,52,12.0
6,58270,hl,2,1,54.64365267617642,0,22,0,0,20,52,12.0
7,58018,cd,1,9,1.69682186636983,0,0,2,2,2,52,12.0
8,58025,cd,1,11,1.3823288739534134,0,0,3,2,3,52,12.0
9,58033,cd,1,7,2.8409987953111178,0,0,5,1,5,52,12.0
10,58043,cd,1,10,2.3849984881086383,0,0,3,2,3,52,12.0
11,58051,cd,1,3,1.3174248410973837,0,0,2,1,2,52,12.0
12,58058,cd,1,14,2.2291632209765995,0,0,2,5,2,52,12.0
13,58065,cd,1,8,1.4370154741579393,0,0,2,2,2,52,12.0
14,58072,cd,1,13,1.2713633614980948,0,0,2,3,2,52,12.0
15,58079,cd,1,6,2.4302724943404415,0,0,3,1,3,52,12.0
16,58087,cd,2,2,17.154301926749326,0,0,2,1,2,52,12.0
17,58094,cd,2,5,21.797783691834113,0,0,3,1,3,52,12.0
18,58102,cd,2,4,21.417903573892538,0,0,3,1,3,52,12.0
19,58110,cd,2,12,27.750077194807517,0,0,2,3,2,52,12.0
20,58117,cd,2,1,7.2580313901030795,0,0,2,1,2,52,12.0
