counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,76024,ud,2,2,18.939175492954984,2,0,0,0,3,51,12.0
2,76036,ud,2,4,15.038522929917322,1,0,0,0,2,51,12.0
3,76045,ud,2,1,7.427249117954076,1,0,0,0,2,51,12.0
4,76054,ud,2,3,5.937434403233915,1,0,0,0,2,51,12.0
5,75958,hl,1,2,8.418695113494794,0,28,0,0,28,51,12.0
6,75994,hl,2,1,54.489135499210974,0,22,0,0,20,51,12.0
7,75783,cd,1,14,2.2033637981913667,0,0,2,5,2,51,12.0
8,75790,cd,1,9,1.436754845351536,0,0,2,2,2,51,12.0
9,75797,cd,1,13,1.2713935858007446,0,0,2,3,2,51,12.0
10,75804,cd,1,6,2.404637274569642,0,0,3,1,3,51,12.0
11,75812,cd,2,3,17.104173302314724,0,0,2,1,2,51,12.0
12,75819,cd,2,5,21.735298956611892,0,0,3,1,3,51,12.0
13,75827,cd,2,4,21.361242948490645,0,0,3,1,3,51,12.0
14,75835,cd,2,12,27.654978404298983,0,0,2,3,2,51,12.0
15,75842,cd,2,2,7.243743152170662,0,0,2,1,2,51,12.0
16,75743,cd,1,1,1.3174593521419617,0,0,2,1,2,51,12.0
17,75750,cd,1,8,1.697156386818989,0,0,2,2,2,51,12.0
18,75757,cd,1,11,1.3828545813965676,0,0,3,2,3,51,12.0
19,75765,cd,1,7,2.8157301582469794,0,0,5,1,5,51,12.0
20,75775,cd,1,10,2.359543742328446,0,0,3,2,3,51,12.0
