counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,30120,ud,2,26,32.48712921516017,5,0,0,0,6,93,9.0
2,30129,ud,2,8,3.2527116954475432,1,0,0,0,2,93,9.0
3,30150,ud,2,21,6.295031824101709,1,0,0,0,2,93,9.0
4,30159,ud,2,32,51.340739170683456,1,0,0,0,2,93,9.0
5,30168,ud,2,7,2.545882972071323,1,0,0,0,2,93,9.0
6,30177,ud,2,20,2.123754007146407,1,0,0,0,2,93,9.0
7,30186,ud,2,15,19.427986975169247,2,0,0,0,3,93,9.0
8,30195,ud,2,19,5.162340271339498,1,0,0,0,2,93,9.0
9,30204,ud,2,2,3.594367389035345,1,0,0,0,2,93,9.0
10,30213,ud,2,25,3.7035707037674146,1,0,0,0,2,93,9.0
11,30222,ud,2,24,4.655698562623624,1,0,0,0,2,93,9.0
12,30231,ud,2,23,4.378965554583743,1,0,0,0,2,93,9.0
13,30240,ud,2,28,9.459746278598324,3,0,0,0,4,93,9.0
14,30252,ud,2,1,3.9113309079725425,1,0,0,0,2,93,9.0
15,30264,ud,2,14,7.491166668167554,2,0,0,0,3,93,9.0
16,30279,ud,2,27,105.55128470333742,6,0,0,0,7,93,9.0
17,30297,ud,2,31,1.4437895044052242,1,0,0,0,2,93,9.0
18,30306,ud,2,4,5.00693504089974,1,0,0,0,2,93,9.0
19,30315,ud,2,18,1.4382919726641035,1,0,0,0,2,93,9.0
20,30330,ud,2,12,6.098952782861328,1,0,0,0,2,93,9.0
21,30339,ud,2,13,4.828952482920846,1,0,0,0,2,93,9.0
22,30348,ud,2,9,2.599767505020218,1,0,0,0,2,93,9.0
23,30357,ud,2,5,6.735530264221339,1,0,0,0,2,93,9.0
24,30366,ud,2,17,2.513218093988162,1,0,0,0,2,93,9.0
25,30375,ud,2,29,68.34554431298898,5,0,0,0,6,93,9.0
26,30384,ud,2,6,8.036352485677543,1,0,0,0,2,93,9.0
27,30396,ud,2,30,6.477595971253273,1,0,0,0,2,93,9.0
28,30414,ud,2,11,1.929793848315499,1,0,0,0,2,93,9.0
29,30423,ud,2,10,7.791210698234824,1,0,0,0,2,93,9.0
30,30432,ud,2,16,2.7083549555143254,1,0,0,0,2,93,9.0
31,30441,ud,2,22,47.42660872386833,1,0,0,0,2,93,9.0
32,30450,ud,2,3,6.528798707061901,1,0,0,0,2,93,9.0
33,30078,hl,2,1,295.87256706874075,0,34,0,0,34,93,9.0
34,28716,cd,1,95,2.9833376057231695,0,0,2,4,2,93,9.0
35,28723,cd,1,20,1.137168886686836,0,0,2,1,2,93,9.0
36,28730,cd,1,94,1.1326418521765513,0,0,2,2,2,93,9.0
37,28737,cd,1,19,1.0766145703968715,0,0,2,1,2,93,9.0
38,28744,cd,1,18,0.9644251451413345,0,0,2,1,2,93,9.0
39,28751,cd,2,17,46.657972137612276,0,0,2,1,2,93,9.0
40,28758,cd,2,16,83.16897772058219,0,0,2,1,2,93,9.0
41,28765,cd,2,32,98.76734789455179,0,0,3,1,3,93,9.0
42,28773,cd,2,31,42.37610596901654,0,0,3,1,3,93,9.0
43,28781,cd,2,15,29.4942774005753,0,0,2,1,2,93,9.0
44,28788,cd,2,40,26.484361102874075,0,0,4,1,4,93,9.0
45,28797,cd,2,93,9.769602163360197,0,0,2,2,2,93,9.0
46,28804,cd,2,30,26.657673947945714,0,0,3,1,3,93,9.0
47,28812,cd,2,14,45.989528828483714,0,0,2,1,2,93,9.0
48,28819,cd,2,29,58.87135739692496,0,0,3,1,3,93,9.0
49,28827,cd,2,13,20.239870930039167,0,0,2,1,2,93,9.0
50,28834,cd,2,39,50.00977128306592,0,0,4,1,4,93,9.0
51,28843,cd,2,28,37.12794271462468,0,0,3,1,3,93,9.0
52,28851,cd,2,38,36.077588771430655,0,0,4,1,4,93,9.0
53,28860,cd,2,27,37.05456915547612,0,0,3,1,3,93,9.0
54,28868,cd,2,12,20.166497370890603,0,0,2,1,2,93,9.0
55,28875,cd,2,37,64.2619745238587,0,0,4,1,4,93,9.0
56,28884,cd,2,48,77.14380309229995,0,0,5,1,5,93,9.0
57,28894,cd,2,92,33.77038726574108,0,0,2,2,2,93,9.0
58,28901,cd,2,56,80.89890056518769,0,0,6,1,6,93,9.0
59,28912,cd,2,36,51.12900021216093,0,0,4,1,4,93,9.0
60,28921,cd,2,47,68.01707199674645,0,0,5,1,5,93,9.0
61,28931,cd,2,26,31.876042046118165,0,0,3,1,3,93,9.0
62,28939,cd,2,11,16.868397149691504,0,0,2,1,2,93,9.0
63,28946,cd,2,46,33.81040029035693,0,0,5,1,5,93,9.0
64,28956,cd,2,61,51.50805692857674,0,0,7,1,7,93,9.0
65,28968,cd,2,69,68.39612871316226,0,0,8,1,8,93,9.0
66,28981,cd,2,45,34.149443982156896,0,0,5,1,5,93,9.0
67,28991,cd,2,78,81.2779572816035,0,0,9,1,9,93,9.0
68,29005,cd,2,77,76.45867014243599,0,0,9,1,9,93,9.0
69,29019,cd,2,68,59.57059835785048,0,0,8,1,8,93,9.0
70,29032,cd,2,55,50.20202161070923,0,0,6,1,6,93,9.0
71,29043,cd,2,35,32.84340866428938,0,0,4,1,4,93,9.0
72,29052,cd,2,25,17.835763767862716,0,0,3,1,3,93,9.0
73,29060,cd,2,44,36.78407665233038,0,0,5,1,5,93,9.0
74,29070,cd,2,76,83.912589951777,0,0,9,1,9,93,9.0
75,29084,cd,2,67,71.03076138333574,0,0,8,1,8,93,9.0
76,29097,cd,2,60,54.14268959875022,0,0,7,1,7,93,9.0
77,29109,cd,2,75,71.40362279550214,0,0,9,1,9,93,9.0
78,29123,cd,2,86,71.53895974699232,0,0,10,1,10,93,9.0
79,29138,cd,2,10,3.6562522578491583,0,0,2,1,2,93,9.0
80,29145,cd,2,54,37.35378505155209,0,0,6,1,6,93,9.0
81,29156,cd,2,66,54.71239799797194,0,0,8,1,8,93,9.0
82,29169,cd,2,9,6.921848228731924,0,0,2,1,2,93,9.0
83,29176,cd,2,88,87.68638428631633,0,0,11,1,11,93,9.0
84,29192,cd,2,43,32.658847864752595,0,0,5,1,5,93,9.0
85,29202,cd,2,53,34.0550230059285,0,0,6,1,6,93,9.0
86,29213,cd,2,85,81.18353630537511,0,0,10,1,10,93,9.0
87,29228,cd,2,24,8.269831783668725,0,0,3,1,3,93,9.0
88,29236,cd,2,65,70.56964425705867,0,0,8,1,8,93,9.0
89,29249,cd,2,74,71.81162184818285,0,0,9,1,9,93,9.0
90,29263,cd,2,52,37.56493711717748,0,0,6,1,6,93,9.0
91,29274,cd,2,64,54.923550063597325,0,0,8,1,8,93,9.0
92,29287,cd,2,84,74.84751221477644,0,0,10,1,10,93,9.0
93,29302,cd,2,59,40.60082748377106,0,0,7,1,7,93,9.0
94,29314,cd,2,73,57.95944043019091,0,0,9,1,9,93,9.0
95,29328,cd,2,51,25.5931825873444,0,0,6,1,6,93,9.0
96,29339,cd,2,83,85.14113160723265,0,0,10,1,10,93,9.0
97,29354,cd,2,34,21.31531462962664,0,0,4,1,4,93,9.0
98,29363,cd,2,58,53.68157247247315,0,0,7,1,7,93,9.0
99,29375,cd,2,42,36.3229595260533,0,0,5,1,5,93,9.0
100,29385,cd,2,50,34.75920831096183,0,0,6,1,6,93,9.0
101,29396,cd,2,72,57.276124508861464,0,0,9,1,9,93,9.0
102,29410,cd,2,23,8.614477848791477,0,0,3,1,3,93,9.0
103,29418,cd,2,8,5.38673815169584,0,0,2,1,2,93,9.0
104,29425,cd,2,82,74.16419629344699,0,0,10,1,10,93,9.0
