counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,5339740,ud,2,7,5.507920693801484,1,0,0,0,2,247,19.0
2,5339761,ud,2,28,7.241202947611663,2,0,0,0,3,247,19.0
3,5339770,ud,2,23,51.05394694618306,1,0,0,0,2,247,19.0
4,5339749,ud,2,33,67.29071994834268,3,0,0,0,4,247,19.0
5,5339860,ud,2,32,1.67093279697572,1,0,0,0,2,247,19.0
6,5339869,ud,2,14,4.918731147727257,1,0,0,0,2,247,19.0
7,5339851,ud,2,6,1.9647642288328035,1,0,0,0,2,247,19.0
8,5339890,ud,2,5,2.3014255370354744,1,0,0,0,2,247,19.0
9,5339899,ud,2,4,17.542820386170767,1,0,0,0,2,247,19.0
10,5339878,ud,2,22,61.92024946145133,2,0,0,0,3,247,19.0
11,5339806,ud,2,21,4.160173126617729,1,0,0,0,2,247,19.0
12,5339779,ud,2,25,27.467891542645752,8,0,0,0,9,247,19.0
13,5339824,ud,2,24,8.477821714142362,3,0,0,0,4,247,19.0
14,5339839,ud,2,3,8.113141971094562,2,0,0,0,3,247,19.0
15,5339815,ud,2,20,4.013143620391105,1,0,0,0,2,247,19.0
16,5339989,ud,2,19,4.786285187528753,1,0,0,0,2,247,19.0
17,5339971,ud,2,36,18.816446214258974,2,0,0,0,3,247,19.0
18,5339980,ud,2,13,2.0684221782605423,1,0,0,0,2,247,19.0
19,5340031,ud,2,12,4.764183740124813,1,0,0,0,2,247,19.0
20,5340004,ud,2,38,94.70445545946288,6,0,0,0,7,247,19.0
21,5339935,ud,2,18,5.029139409763751,1,0,0,0,2,247,19.0
22,5339908,ud,2,17,96.26386573534637,3,0,0,0,4,247,19.0
23,5339917,ud,2,16,107.79319663714105,2,0,0,0,3,247,19.0
24,5339953,ud,2,35,8.616009554923586,2,0,0,0,3,247,19.0
25,5339944,ud,2,11,66.07311068788266,3,0,0,0,4,247,19.0
26,5340121,ud,2,31,11.371022567286937,1,0,0,0,2,247,19.0
27,5340100,ud,2,2,6.967524267014294,1,0,0,0,2,247,19.0
28,5340109,ud,2,10,4.725593331321695,2,0,0,0,3,247,19.0
29,5340148,ud,2,34,2.0607963093089903,1,0,0,0,2,247,19.0
30,5340157,ud,2,37,2.390980642238177,1,0,0,0,2,247,19.0
31,5340130,ud,2,1,13.27962039908378,1,0,0,0,2,247,19.0
32,5340139,ud,2,27,5.512078303630036,1,0,0,0,2,247,19.0
33,5340049,ud,2,9,2.2864189450101686,1,0,0,0,2,247,19.0
34,5340058,ud,2,8,4.182823852457574,1,0,0,0,2,247,19.0
35,5340040,ud,2,30,1.63392144592649,1,0,0,0,2,247,19.0
36,5340091,ud,2,15,4.872598465237379,1,0,0,0,2,247,19.0
37,5340067,ud,2,29,6.052816042594857,2,0,0,0,3,247,19.0
38,5340076,ud,2,26,7.82702516493984,1,0,0,0,2,247,19.0
39,5339510,hl,1,3,32.347985463016435,0,108,0,0,101,247,19.0
40,5339626,hl,2,1,386.47975469730255,0,37,0,0,38,247,19.0
41,5339671,hl,2,2,344.401972167345,0,61,0,0,59,247,19.0
42,5337168,cd,2,122,156.31921030447796,0,0,12,1,12,247,19.0
43,5337154,cd,2,88,77.04909470515985,0,0,9,1,9,247,19.0
44,5337206,cd,2,96,114.67988708190232,0,0,10,1,10,247,19.0
45,5337185,cd,2,30,9.553401784879014,0,0,2,1,2,247,19.0
46,5337192,cd,2,87,66.75579696117171,0,0,9,1,9,247,19.0
47,5337109,cd,2,53,22.404478690349343,0,0,3,1,3,247,19.0
48,5337117,cd,2,139,194.89509967380906,0,0,14,1,14,247,19.0
49,5337091,cd,2,131,184.38228549318484,0,0,13,1,13,247,19.0
50,5337136,cd,2,130,166.83202448510218,0,0,13,1,13,247,19.0
51,5337307,cd,2,60,34.1288330242611,0,0,4,1,4,247,19.0
52,5337290,cd,2,121,132.59111343904334,0,0,12,1,12,247,19.0
53,5337337,cd,2,106,74.78665980718365,0,0,11,1,11,247,19.0
54,5337316,cd,2,63,17.80378106752702,0,0,5,1,5,247,19.0
55,5337326,cd,2,67,30.654857972997345,0,0,6,1,6,247,19.0
56,5337242,cd,2,129,168.04356463838974,0,0,13,1,13,247,19.0
57,5337221,cd,2,151,250.10282571811842,0,0,16,1,16,247,19.0
58,5337274,cd,2,105,135.3652657279984,0,0,11,1,11,247,19.0
59,5337260,cd,2,86,78.2606348584474,0,0,9,1,9,247,19.0
60,5337432,cd,2,95,75.10014966182511,0,0,10,1,10,247,19.0
61,5337410,cd,2,160,246.9423405214961,0,0,17,1,17,247,19.0
62,5337456,cd,2,120,124.79965484130871,0,0,12,1,12,247,19.0
63,5337447,cd,2,59,18.117270922168462,0,0,4,1,4,247,19.0
64,5337353,cd,2,166,246.62885066685467,0,0,18,1,18,247,19.0
65,5337393,cd,2,119,132.20478053137612,0,0,12,1,12,247,19.0
66,5337376,cd,2,118,122.71074992791428,0,0,12,1,12,247,19.0
67,5337549,cd,2,146,192.94615463047433,0,0,15,1,15,247,19.0
68,5337591,cd,2,94,80.0302913009876,0,0,10,1,10,247,19.0
69,5337569,cd,2,159,251.8724821606586,0,0,17,1,17,247,19.0
70,5337496,cd,2,104,76.87556472057808,0,0,11,1,11,247,19.0
71,5337473,cd,2,165,248.7177555802491,0,0,18,1,18,247,19.0
72,5337530,cd,2,138,164.88307944176745,0,0,14,1,14,247,19.0
73,5337512,cd,2,128,133.98019559012909,0,0,13,1,13,247,19.0
74,5337678,cd,2,137,131.8920254989417,0,0,14,1,14,247,19.0
75,5337722,cd,2,150,199.42864919617176,0,0,16,1,16,247,19.0
76,5337697,cd,2,172,5.921986632127933,0,0,2,2,2,247,19.0
77,5337704,cd,2,127,129.41398186963195,0,0,13,1,13,247,19.0
78,5337622,cd,2,103,80.02138288019621,0,0,11,1,11,247,19.0
79,5337606,cd,2,102,127.95438142171822,0,0,11,1,11,247,19.0
80,5337661,cd,2,117,127.94547300092684,0,0,12,1,12,247,19.0
81,5337638,cd,2,164,251.8635737398672,0,0,18,1,18,247,19.0
82,5337817,cd,2,145,197.8762962696368,0,0,15,1,15,247,19.0
83,5337798,cd,2,136,169.81322108092994,0,0,14,1,14,247,19.0
84,5337837,cd,2,169,257.7013681653523,0,0,19,1,19,247,19.0
85,5337743,cd,2,116,137.1068450118765,0,0,12,1,12,247,19.0
86,5337782,cd,2,101,89.18275489114585,0,0,11,1,11,247,19.0
87,5337760,cd,2,158,230.01963161727124,0,0,17,1,17,247,19.0
88,5337944,cd,2,115,127.34576421549993,0,0,12,1,12,247,19.0
89,5337924,cd,2,144,145.6648016776045,0,0,15,1,15,247,19.0
90,5337983,cd,2,100,124.2752743981374,0,0,11,1,11,247,19.0
91,5337961,cd,2,157,252.9879137394961,0,0,17,1,17,247,19.0
92,5337882,cd,2,168,253.1353658092133,0,0,19,1,19,247,19.0
93,5337861,cd,2,149,197.2676790634185,0,0,16,1,16,247,19.0
94,5337906,cd,2,126,129.21726507027293,0,0,13,1,13,247,19.0
95,5338074,cd,2,135,163.93406767673218,0,0,14,1,14,247,19.0
96,5338057,cd,2,114,133.45581514695778,0,0,12,1,12,247,19.0
97,5338100,cd,2,143,191.99714286543906,0,0,15,1,15,247,19.0
98,5338093,cd,2,29,10.200734890118929,0,0,2,1,2,247,19.0
99,5337999,cd,2,156,248.19337513707777,0,0,17,1,17,247,19.0
100,5338036,cd,2,148,217.18806100353217,0,0,16,1,16,247,19.0
101,5338021,cd,2,93,76.35118427740677,0,0,10,1,10,247,19.0
102,5338197,cd,2,155,249.1157149148918,0,0,17,1,17,247,19.0
103,5338219,cd,2,163,252.00080293626948,0,0,18,1,18,247,19.0
104,5338135,cd,2,113,131.25576876634088,0,0,12,1,12,247,19.0
105,5338120,cd,2,92,74.15113789678988,0,0,10,1,10,247,19.0
106,5338174,cd,2,162,248.87841677783854,0,0,18,1,18,247,19.0
107,5338152,cd,2,154,245.99332875646087,0,0,17,1,17,247,19.0
108,5338328,cd,2,28,5.859243264836697,0,0,2,1,2,247,19.0
109,5338335,cd,2,52,10.574244959493322,0,0,3,1,3,247,19.0
110,5338305,cd,2,161,251.16778519629096,0,0,18,1,18,247,19.0
111,5338361,cd,2,27,7.490242398162512,0,0,2,1,2,247,19.0
112,5338343,cd,2,125,129.60385401278313,0,0,13,1,13,247,19.0
113,5338268,cd,2,99,125.19761417595141,0,0,11,1,11,247,19.0
114,5338242,cd,2,26,13.323121048549861,0,0,2,1,2,247,19.0
115,5338249,cd,2,134,167.05645383516313,0,0,14,1,14,247,19.0
116,5338284,cd,2,147,218.1104007813462,0,0,16,1,16,247,19.0
117,5338451,cd,2,112,142.6322615865096,0,0,12,1,12,247,19.0
118,5338444,cd,2,25,8.22007540406079,0,0,2,1,2,247,19.0
119,5338487,cd,2,98,122.73356129122924,0,0,11,1,11,247,19.0
120,5338468,cd,2,133,196.10663982709661,0,0,14,1,14,247,19.0
121,5338385,cd,2,124,127.4264471990427,0,0,13,1,13,247,19.0
122,5338368,cd,2,111,127.2496844573506,0,0,12,1,12,247,19.0
123,5338420,cd,2,167,251.34454793798307,0,0,19,1,19,247,19.0
124,5338403,cd,2,110,79.50235707831207,0,0,12,1,12,247,19.0
125,5338577,cd,2,153,246.6516620301696,0,0,17,1,17,247,19.0
126,5338562,cd,2,91,74.80947117049861,0,0,10,1,10,247,19.0
127,5338618,cd,2,90,123.64091139408664,0,0,10,1,10,247,19.0
128,5338599,cd,2,132,164.59240095044095,0,0,14,1,14,247,19.0
129,5338525,cd,2,109,123.77999318383105,0,0,12,1,12,247,19.0
130,5338503,cd,2,152,216.69277978922585,0,0,17,1,17,247,19.0
131,5338542,cd,2,142,192.65547613914782,0,0,15,1,15,247,19.0
132,5338707,cd,2,62,91.93862366491717,0,0,5,1,5,247,19.0
133,5338717,cd,2,51,90.23728134960737,0,0,3,1,3,247,19.0
134,5338690,cd,2,58,44.01453354418655,0,0,4,1,4,247,19.0
135,5338699,cd,2,50,11.89258072739764,0,0,3,1,3,247,19.0
136,5338738,cd,2,74,205.0807823597032,0,0,7,1,7,247,19.0
137,5338750,cd,2,73,132.1162600394672,0,0,7,1,7,247,19.0
138,5338725,cd,2,81,236.0860964932488,0,0,8,1,8,247,19.0
139,5338653,cd,2,66,94.20593802614562,0,0,6,1,6,247,19.0
140,5338633,cd,2,141,238.37847138420662,0,0,15,1,15,247,19.0
141,5338673,cd,2,108,218.12403876508597,0,0,12,1,12,247,19.0
142,5338664,cd,2,57,14.15989508862609,0,0,4,1,4,247,19.0
143,5338819,cd,2,49,11.693010649124673,0,0,3,1,3,247,19.0
144,5338769,cd,2,24,3.162674182992804,0,0,2,1,2,247,19.0
145,5338776,cd,2,171,10.54397566997764,0,0,2,2,2,247,19.0
146,5338783,cd,2,48,9.016631197271876,0,0,3,1,3,247,19.0
147,5338762,cd,2,23,78.88568129246718,0,0,2,1,2,247,19.0
148,5338805,cd,2,22,6.974470676923767,0,0,2,1,2,247,19.0
149,5338812,cd,2,21,8.922284395573683,0,0,2,1,2,247,19.0
150,5338791,cd,2,20,3.0474831843357073,0,0,2,1,2,247,19.0
151,5338798,cd,2,19,2.5490139181969265,0,0,2,1,2,247,19.0
152,5336532,cd,1,18,2.333469964336774,0,0,2,1,2,247,19.0
153,5336539,cd,1,17,2.2353714666281186,0,0,2,1,2,247,19.0
154,5336518,cd,1,16,2.207032464336774,0,0,2,1,2,247,19.0
155,5336525,cd,1,15,2.207032464336774,0,0,2,1,2,247,19.0
156,5336560,cd,1,14,2.2318949643367736,0,0,2,1,2,247,19.0
157,5336567,cd,1,176,1.3710657653808878,0,0,2,3,2,247,19.0
158,5336574,cd,1,47,1.3836029785367978,0,0,3,1,3,247,19.0
159,5336546,cd,1,13,2.2318949643367736,0,0,2,1,2,247,19.0
160,5336553,cd,1,12,2.2318949643367736,0,0,2,1,2,247,19.0
161,5336472,cd,1,175,1.4429182890507346,0,0,2,3,2,247,19.0
162,5336479,cd,1,46,1.4268336196069746,0,0,3,1,3,247,19.0
163,5336455,cd,1,45,2.643992570786672,0,0,3,1,3,247,19.0
164,5336463,cd,1,56,3.367391566347978,0,0,4,1,4,247,19.0
165,5336503,cd,1,44,1.6495257233437473,0,0,3,1,3,247,19.0
166,5336511,cd,1,11,2.2353714666281186,0,0,2,1,2,247,19.0
167,5336487,cd,1,43,1.4268336196069746,0,0,3,1,3,247,19.0
168,5336495,cd,1,42,1.4268336196069746,0,0,3,1,3,247,19.0
169,5336659,cd,1,10,1.0637620619010038,0,0,2,1,2,247,19.0
