counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,9605778,ud,2,27,4.323625187948286,1,0,0,0,2,186,10.0
2,9605763,ud,2,26,25.108282761410603,7,0,0,0,8,186,10.0
3,9605814,ud,2,16,10.997552847086558,3,0,0,0,4,186,10.0
4,9605796,ud,2,25,3.9475950367942554,1,0,0,0,2,186,10.0
5,9605805,ud,2,24,8.286726816167928,3,0,0,0,4,186,10.0
6,9605844,ud,2,36,1.9769791630167113,1,0,0,0,2,186,10.0
7,9605853,ud,2,23,5.308710402088497,1,0,0,0,2,186,10.0
8,9605835,ud,2,35,1.5611503787313818,1,0,0,0,2,186,10.0
9,9605874,ud,2,15,2.3604085138467106,1,0,0,0,2,186,10.0
10,9605883,ud,2,22,77.80907941725695,3,0,0,0,4,186,10.0
11,9605862,ud,2,29,94.41530999929938,2,0,0,0,3,186,10.0
12,9605715,ud,2,14,4.392076571722045,1,0,0,0,2,186,10.0
13,9605724,ud,2,34,59.886883307529516,3,0,0,0,4,186,10.0
14,9605706,ud,2,4,5.431087243300983,1,0,0,0,2,186,10.0
15,9605745,ud,2,33,4.224613939123694,1,0,0,0,2,186,10.0
16,9605754,ud,2,21,50.52183294103099,1,0,0,0,2,186,10.0
17,9605736,ud,2,20,8.211167652721523,2,0,0,0,3,186,10.0
18,9606039,ud,2,13,2.6231462632681786,1,0,0,0,2,186,10.0
19,9606024,ud,2,28,1.8801748583630902,1,0,0,0,2,186,10.0
20,9606066,ud,2,19,5.027033373116582,1,0,0,0,2,186,10.0
21,9606075,ud,2,12,2.8336682309660106,1,0,0,0,2,186,10.0
22,9606048,ud,2,3,2.631610101535304,1,0,0,0,2,186,10.0
23,9606057,ud,2,11,4.17299851202157,1,0,0,0,2,186,10.0
24,9606099,ud,2,31,4.300723558381537,1,0,0,0,2,186,10.0
25,9606108,ud,2,10,14.494835103322352,1,0,0,0,2,186,10.0
26,9606087,ud,2,9,3.4380282818001726,2,0,0,0,3,186,10.0
27,9605904,ud,2,18,4.83859008590506,1,0,0,0,2,186,10.0
28,9605913,ud,2,2,20.340603117728566,1,0,0,0,2,186,10.0
29,9605895,ud,2,32,230.23901927227527,7,0,0,0,8,186,10.0
30,9605940,ud,2,17,141.81864190691073,4,0,0,0,5,186,10.0
31,9605931,ud,2,37,55.446379351435596,1,0,0,0,2,186,10.0
32,9605976,ud,2,1,2.162124258387952,1,0,0,0,2,186,10.0
33,9605958,ud,2,8,6.7375883379003465,1,0,0,0,2,186,10.0
34,9605967,ud,2,7,11.678090510845262,1,0,0,0,2,186,10.0
35,9606009,ud,2,30,59.30990531366221,4,0,0,0,5,186,10.0
36,9605985,ud,2,6,5.143097015285789,1,0,0,0,2,186,10.0
37,9605997,ud,2,5,9.312679537112695,2,0,0,0,3,186,10.0
38,9605592,hl,1,1,31.711684299101506,0,106,0,0,99,186,10.0
39,9605137,cd,2,28,6.716892880532657,0,0,2,1,2,186,10.0
40,9605144,cd,2,47,11.279238290157256,0,0,3,1,3,186,10.0
41,9605122,cd,2,27,3.2198822526276016,0,0,2,1,2,186,10.0
42,9605129,cd,2,46,9.361391060457304,0,0,3,1,3,186,10.0
43,9605152,cd,2,26,7.961617910641026,0,0,2,1,2,186,10.0
44,9605159,cd,2,25,3.160001774148391,0,0,2,1,2,186,10.0
45,9604500,cd,1,24,2.237249779115065,0,0,2,1,2,186,10.0
46,9604507,cd,1,23,2.237249779115065,0,0,2,1,2,186,10.0
47,9604486,cd,1,22,2.2277624960656,0,0,2,1,2,186,10.0
48,9604493,cd,1,21,2.3440718944996806,0,0,2,1,2,186,10.0
49,9604528,cd,1,20,2.199420108785395,0,0,2,1,2,186,10.0
50,9604535,cd,1,45,1.5077144538293386,0,0,3,1,3,186,10.0
51,9604543,cd,1,77,1.4992882801849172,0,0,2,3,2,186,10.0
52,9604514,cd,1,19,2.199420108785395,0,0,2,1,2,186,10.0
53,9604521,cd,1,18,2.2277624960656,0,0,2,1,2,186,10.0
54,9604566,cd,1,44,1.5077144538293386,0,0,3,1,3,186,10.0
55,9604574,cd,1,76,1.3210631423402033,0,0,2,3,2,186,10.0
56,9604550,cd,1,43,1.5077144538293386,0,0,3,1,3,186,10.0
57,9604558,cd,1,42,1.5077144538293386,0,0,3,1,3,186,10.0
58,9604597,cd,1,41,1.333521111923013,0,0,3,1,3,186,10.0
59,9604605,cd,1,40,1.333521111923013,0,0,3,1,3,186,10.0
60,9604581,cd,1,39,1.333521111923013,0,0,3,1,3,186,10.0
61,9604589,cd,1,38,1.333521111923013,0,0,3,1,3,186,10.0
62,9604472,cd,1,17,2.112832898776941,0,0,2,1,2,186,10.0
63,9604479,cd,1,16,2.237249779115065,0,0,2,1,2,186,10.0
64,9604762,cd,2,68,249.78671458389204,0,0,10,1,10,186,10.0
65,9604751,cd,2,59,158.028134233536,0,0,6,1,6,186,10.0
66,9604787,cd,2,67,208.7548013658783,0,0,10,1,10,186,10.0
67,9604777,cd,2,54,140.8964764514239,0,0,5,1,5,186,10.0
68,9604818,cd,2,15,68.3520176040478,0,0,2,1,2,186,10.0
69,9604825,cd,2,64,202.85809379962149,0,0,8,1,8,186,10.0
70,9604802,cd,2,70,206.99815865408905,0,0,11,1,11,186,10.0
71,9604853,cd,2,65,193.40648260225535,0,0,9,1,9,186,10.0
72,9604838,cd,2,66,207.52685164160482,0,0,10,1,10,186,10.0
73,9604627,cd,2,74,113.06839891733904,0,0,2,2,2,186,10.0
74,9604634,cd,2,14,33.127852945755095,0,0,2,1,2,186,10.0
75,9604613,cd,1,13,1.134978201433533,0,0,2,1,2,186,10.0
76,9604620,cd,1,12,1.0637620619010038,0,0,2,1,2,186,10.0
77,9604658,cd,2,37,32.995418183505045,0,0,3,1,3,186,10.0
78,9604666,cd,2,11,6.658566243405426,0,0,2,1,2,186,10.0
79,9604641,cd,2,36,93.5225479828949,0,0,3,1,3,186,10.0
80,9604649,cd,2,50,93.39011322064486,0,0,4,1,4,186,10.0
81,9604697,cd,2,62,189.24612607608142,0,0,7,1,7,186,10.0
82,9604673,cd,2,10,39.35843956226036,0,0,2,1,2,186,10.0
83,9604680,cd,2,71,298.1363642085496,0,0,12,1,12,186,10.0
84,9604727,cd,2,35,109.8791047882939,0,0,3,1,3,186,10.0
