counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,10393311,ud,2,27,8.350026984251652,2,0,0,0,3,189,12.0
2,10393302,ud,2,3,5.383616782339534,1,0,0,0,2,189,12.0
3,10393293,ud,2,17,4.245386587687865,1,0,0,0,2,189,12.0
4,10393341,ud,2,26,22.789599050242643,7,0,0,0,8,189,12.0
5,10393332,ud,2,25,47.49207860589138,1,0,0,0,2,189,12.0
6,10393320,ud,2,33,49.714366595190164,3,0,0,0,4,189,12.0
7,10393491,ud,2,24,85.414648944356,3,0,0,0,4,189,12.0
8,10393479,ud,2,31,245.1338994736051,7,0,0,0,8,189,12.0
9,10393524,ud,2,16,6.955078516686272,1,0,0,0,2,189,12.0
10,10393506,ud,2,15,4.731859685002091,1,0,0,0,2,189,12.0
11,10393566,ud,2,30,91.38671008892665,5,0,0,0,6,189,12.0
12,10393557,ud,2,14,5.215148105507909,1,0,0,0,2,189,12.0
13,10393545,ud,2,2,2.1788744789879657,1,0,0,0,2,189,12.0
14,10393536,ud,2,13,11.791713323429324,1,0,0,0,2,189,12.0
15,10393590,ud,2,12,8.441546884480337,2,0,0,0,3,189,12.0
16,10393581,ud,2,23,1.8972119104978824,1,0,0,0,2,189,12.0
17,10393371,ud,2,22,8.150556301115381,3,0,0,0,4,189,12.0
18,10393362,ud,2,21,4.222552405978172,1,0,0,0,2,189,12.0
19,10393401,ud,2,32,1.5836138000304363,1,0,0,0,2,189,12.0
20,10393386,ud,2,11,10.785026251329233,3,0,0,0,4,189,12.0
21,10393437,ud,2,10,2.3595038567378817,1,0,0,0,2,189,12.0
22,10393428,ud,2,28,96.4466739129972,2,0,0,0,3,189,12.0
23,10393419,ud,2,34,1.9776712113759485,1,0,0,0,2,189,12.0
24,10393410,ud,2,20,5.507261653162382,1,0,0,0,2,189,12.0
25,10393467,ud,2,19,154.8852031759799,4,0,0,0,5,189,12.0
26,10393458,ud,2,35,57.25539689665517,1,0,0,0,2,189,12.0
27,10393449,ud,2,9,48.107701027451526,2,0,0,0,3,189,12.0
28,10393629,ud,2,8,2.832349450225612,1,0,0,0,2,189,12.0
29,10393620,ud,2,1,2.6734806775123645,1,0,0,0,2,189,12.0
30,10393611,ud,2,7,2.385800340118191,1,0,0,0,2,189,12.0
31,10393662,ud,2,6,3.455306471711685,2,0,0,0,3,189,12.0
32,10393647,ud,2,18,4.8452955573812915,1,0,0,0,2,189,12.0
33,10393638,ud,2,5,4.238153704422496,1,0,0,0,2,189,12.0
34,10393683,ud,2,4,14.053031279448076,1,0,0,0,2,189,12.0
35,10393674,ud,2,29,4.501695220959781,1,0,0,0,2,189,12.0
36,10393176,hl,1,1,32.357893670419244,0,109,0,0,102,189,12.0
37,10391966,cd,1,32,2.3884990289167782,0,0,2,1,2,189,12.0
38,10391959,cd,1,31,2.272184599158346,0,0,2,1,2,189,12.0
39,10391952,cd,1,30,2.281676913532163,0,0,2,1,2,189,12.0
40,10391945,cd,1,29,2.281676913532163,0,0,2,1,2,189,12.0
41,10391938,cd,1,28,2.281676913532163,0,0,2,1,2,189,12.0
42,10391994,cd,1,51,1.5077144538293386,0,0,3,1,3,189,12.0
43,10391987,cd,1,27,2.2438472432024925,0,0,2,1,2,189,12.0
44,10391980,cd,1,26,2.272184599158346,0,0,2,1,2,189,12.0
45,10391973,cd,1,25,2.2438472432024925,0,0,2,1,2,189,12.0
46,10392025,cd,1,50,1.5077144538293386,0,0,3,1,3,189,12.0
47,10392017,cd,1,49,1.5077144538293386,0,0,3,1,3,189,12.0
48,10392009,cd,1,48,1.5077144538293386,0,0,3,1,3,189,12.0
49,10392002,cd,1,88,1.4992882801849174,0,0,2,3,2,189,12.0
50,10392056,cd,1,47,1.333521111923013,0,0,3,1,3,189,12.0
51,10392048,cd,1,46,1.333521111923013,0,0,3,1,3,189,12.0
52,10392040,cd,1,45,1.333521111923013,0,0,3,1,3,189,12.0
53,10392033,cd,1,87,1.3210631423402033,0,0,2,3,2,189,12.0
54,10391931,cd,1,24,2.1151593779822946,0,0,2,1,2,189,12.0
55,10392219,cd,2,76,160.4045751811302,0,0,6,1,6,189,12.0
56,10392212,cd,2,23,37.086361310321664,0,0,2,1,2,189,12.0
57,10392202,cd,2,68,160.8538770730208,0,0,5,1,5,189,12.0
58,10392195,cd,2,22,35.43998330358308,0,0,2,1,2,189,12.0
59,10392255,cd,2,85,214.4411387519653,0,0,10,1,10,189,12.0
60,10392245,cd,2,67,99.2707192390785,0,0,5,1,5,189,12.0
61,10392238,cd,2,21,6.310626779211514,0,0,2,1,2,189,12.0
62,10392230,cd,2,44,36.637059418431036,0,0,3,1,3,189,12.0
63,10392280,cd,2,83,161.91466591252322,0,0,8,1,8,189,12.0
64,10392270,cd,2,66,38.14715014982406,0,0,5,1,5,189,12.0
65,10392319,cd,2,80,160.7801821958759,0,0,7,1,7,189,12.0
66,10392311,cd,2,43,6.6862337939572285,0,0,3,1,3,189,12.0
67,10392302,cd,2,58,37.01266643317675,0,0,4,1,4,189,12.0
68,10392293,cd,2,57,7.8207175106045375,0,0,4,1,4,189,12.0
69,10392093,cd,2,56,192.780214217627,0,0,4,1,4,189,12.0
70,10392086,cd,2,20,132.83002953451242,0,0,2,1,2,189,12.0
