counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,11253997,ud,2,6,5.489796347849373,1,0,0,0,2,209,16.0
2,11254015,ud,2,30,20.276526733195624,2,0,0,0,3,209,16.0
3,11254006,ud,2,22,4.411226063565322,1,0,0,0,2,209,16.0
4,11254183,ud,2,32,108.47327822931156,4,0,0,0,5,209,16.0
5,11254192,ud,2,29,111.4052897584634,3,0,0,0,4,209,16.0
6,11254153,ud,2,28,5.884493339571872,1,0,0,0,2,209,16.0
7,11254144,ud,2,39,1.9558079361706706,1,0,0,0,2,209,16.0
8,11254171,ud,2,5,2.3743470644865403,1,0,0,0,2,209,16.0
9,11254162,ud,2,31,74.55527409740749,2,0,0,0,3,209,16.0
10,11254252,ud,2,21,10.145294201939546,2,0,0,0,3,209,16.0
11,11254267,ud,2,20,12.524071603284845,1,0,0,0,2,209,16.0
12,11254219,ud,2,19,42.440933425637596,2,0,0,0,3,209,16.0
13,11254210,ud,2,18,4.930792264664573,1,0,0,0,2,209,16.0
14,11254237,ud,2,41,51.298589014155475,1,0,0,0,2,209,16.0
15,11254063,ud,2,27,27.63035279015085,9,0,0,0,10,209,16.0
16,11254054,ud,2,26,45.14641665053799,1,0,0,0,2,209,16.0
17,11254024,ud,2,25,180.63205709153803,5,0,0,0,6,209,16.0
18,11254042,ud,2,37,90.9599618297324,4,0,0,0,5,209,16.0
19,11254033,ud,2,17,8.392295603892048,2,0,0,0,3,209,16.0
20,11254117,ud,2,16,8.134706037274011,2,0,0,0,3,209,16.0
21,11254135,ud,2,36,1.5988814108309737,1,0,0,0,2,209,16.0
22,11254081,ud,2,4,2.137759277351472,1,0,0,0,2,209,16.0
23,11254108,ud,2,24,8.675559816642073,3,0,0,0,4,209,16.0
24,11254099,ud,2,23,4.351382420505065,1,0,0,0,2,209,16.0
25,11254441,ud,2,35,8.240446086542713,2,0,0,0,3,209,16.0
26,11254456,ud,2,34,13.208267933576456,1,0,0,0,2,209,16.0
27,11254405,ud,2,3,2.9588548716923406,1,0,0,0,2,209,16.0
28,11254429,ud,2,15,3.574873634124409,2,0,0,0,3,209,16.0
29,11254420,ud,2,40,3.945815419629681,1,0,0,0,2,209,16.0
30,11254471,ud,2,42,4.696686734342863,1,0,0,0,2,209,16.0
31,11254306,ud,2,33,87.22980965792948,5,0,0,0,6,209,16.0
32,11254330,ud,2,14,7.574542293870383,2,0,0,0,3,209,16.0
33,11254321,ud,2,13,2.026210872333489,1,0,0,0,2,209,16.0
34,11254285,ud,2,2,2.354476613773716,1,0,0,0,2,209,16.0
35,11254276,ud,2,38,56.92271231290815,1,0,0,0,2,209,16.0
36,11254297,ud,2,12,5.263958930956807,1,0,0,0,2,209,16.0
37,11254378,ud,2,11,4.4315387896036045,1,0,0,0,2,209,16.0
38,11254369,ud,2,1,2.656143161190629,1,0,0,0,2,209,16.0
39,11254396,ud,2,10,5.073294744896077,1,0,0,0,2,209,16.0
40,11254387,ud,2,9,4.208329898741978,1,0,0,0,2,209,16.0
41,11254351,ud,2,8,2.3379313355091456,1,0,0,0,2,209,16.0
42,11254360,ud,2,7,2.4940969944305067,1,0,0,0,2,209,16.0
43,11253869,hl,1,1,38.682707114746606,0,120,0,0,113,209,16.0
44,11252650,cd,1,49,1.7982863867821628,0,0,4,1,4,209,16.0
45,11252643,cd,1,31,2.3704571881960264,0,0,2,1,2,209,16.0
46,11252667,cd,1,30,2.326416410022087,0,0,2,1,2,209,16.0
47,11252659,cd,1,44,1.533415295245557,0,0,3,1,3,209,16.0
48,11252717,cd,1,29,2.3642460803517573,0,0,2,1,2,209,16.0
49,11252709,cd,1,43,1.1642292196532185,0,0,3,1,3,209,16.0
50,11252731,cd,1,82,1.3458933062531457,0,0,2,3,2,209,16.0
51,11252724,cd,1,28,2.3642460803517573,0,0,2,1,2,209,16.0
52,11252681,cd,1,27,2.354737452289891,0,0,2,1,2,209,16.0
53,11252674,cd,1,26,2.326416410022087,0,0,2,1,2,209,16.0
54,11252702,cd,1,25,2.4710681957363727,0,0,2,1,2,209,16.0
55,11252688,cd,1,24,2.354737452289891,0,0,2,1,2,209,16.0
56,11252695,cd,1,23,2.3642460803517573,0,0,2,1,2,209,16.0
57,11252900,cd,2,67,176.85574131158253,0,0,8,1,8,209,16.0
58,11252927,cd,2,63,132.8345682298637,0,0,7,1,7,209,16.0
59,11252913,cd,2,71,192.46614257895052,0,0,9,1,9,209,16.0
60,11252868,cd,2,70,160.35162859561828,0,0,9,1,9,209,16.0
61,11252882,cd,2,78,251.32238686577276,0,0,13,1,13,209,16.0
62,11252969,cd,2,72,184.10122711748866,0,0,10,1,10,209,16.0
63,11252984,cd,2,66,151.44858969833294,0,0,8,1,8,209,16.0
64,11252939,cd,2,65,160.14805334432282,0,0,8,1,8,209,16.0
