counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,13263560,ud,2,35,3.997585548052467,2,0,0,0,3,255,13.0
2,13263581,ud,2,54,12.988285886148327,1,0,0,0,2,255,13.0
3,13263572,ud,2,34,15.586267426602763,1,0,0,0,2,255,13.0
4,13263599,ud,2,37,6.901539637817439,2,0,0,0,3,255,13.0
5,13263590,ud,2,25,7.103731916551061,1,0,0,0,2,255,13.0
6,13263614,ud,2,24,3.4519271576409447,1,0,0,0,2,255,13.0
7,13263500,ud,2,46,82.66612935333102,5,0,0,0,6,255,13.0
8,13263488,ud,2,42,71.38589364403765,4,0,0,0,5,255,13.0
9,13263518,ud,2,41,1.9435381919965646,1,0,0,0,2,255,13.0
10,13263509,ud,2,23,1.9753632885966006,1,0,0,0,2,255,13.0
11,13263527,ud,2,31,4.6482067689274675,1,0,0,0,2,255,13.0
12,13263551,ud,2,30,2.492671677922294,1,0,0,0,2,255,13.0
13,13263431,ud,2,40,4.387688320426205,1,0,0,0,2,255,13.0
14,13263449,ud,2,45,43.258231422916495,1,0,0,0,2,255,13.0
15,13263440,ud,2,39,34.49864216861212,1,0,0,0,2,255,13.0
16,13263467,ud,2,29,8.946612539340467,2,0,0,0,3,255,13.0
17,13263458,ud,2,21,155.43431438859167,5,0,0,0,6,255,13.0
18,13263479,ud,2,16,7.728998461782867,1,0,0,0,2,255,13.0
19,13263422,ud,2,4,2.734439179927819,1,0,0,0,2,255,13.0
20,13263818,ud,2,13,4.235595703290578,1,0,0,0,2,255,13.0
21,13263809,ud,2,38,1.903284477750315,1,0,0,0,2,255,13.0
22,13263836,ud,2,12,10.530070593639513,3,0,0,0,4,255,13.0
23,13263827,ud,2,11,7.427089463416136,1,0,0,0,2,255,13.0
24,13263851,ud,2,3,3.664246414494724,1,0,0,0,2,255,13.0
25,13263869,ud,2,47,154.61557666989904,5,0,0,0,6,255,13.0
26,13263860,ud,2,10,4.770677708897399,1,0,0,0,2,255,13.0
27,13263755,ud,2,9,2.099316195191523,1,0,0,0,2,255,13.0
28,13263746,ud,2,8,4.368694115276611,1,0,0,0,2,255,13.0
29,13263773,ud,2,22,5.4974191542857,1,0,0,0,2,255,13.0
30,13263764,ud,2,7,3.702158535807129,1,0,0,0,2,255,13.0
31,13263791,ud,2,20,2.8194117052635432,1,0,0,0,2,255,13.0
32,13263782,ud,2,19,3.4285354066034683,1,0,0,0,2,255,13.0
33,13263800,ud,2,28,4.418405922941761,1,0,0,0,2,255,13.0
34,13263707,ud,2,6,14.980954213827047,2,0,0,0,3,255,13.0
35,13263698,ud,2,2,9.933569889676699,1,0,0,0,2,255,13.0
36,13263719,ud,2,44,7.957727463459251,3,0,0,0,4,255,13.0
37,13263734,ud,2,36,4.825195690670855,2,0,0,0,3,255,13.0
38,13263623,ud,2,33,5.059097342341072,1,0,0,0,2,255,13.0
39,13263641,ud,2,18,30.658710718787557,1,0,0,0,2,255,13.0
40,13263632,ud,2,15,9.470538525656092,1,0,0,0,2,255,13.0
41,13263659,ud,2,14,6.356019539801051,1,0,0,0,2,255,13.0
42,13263650,ud,2,32,1.9270072826341624,1,0,0,0,2,255,13.0
43,13263677,ud,2,1,2.2102436452234353,1,0,0,0,2,255,13.0
44,13263668,ud,2,27,1.6217819480978115,1,0,0,0,2,255,13.0
45,13264010,ud,2,48,40.52371904918398,1,0,0,0,2,255,13.0
46,13264001,ud,2,51,78.26743952458926,2,0,0,0,3,255,13.0
47,13263977,ud,2,53,209.74982706638002,2,0,0,0,3,255,13.0
48,13263968,ud,2,17,8.678923545952864,1,0,0,0,2,255,13.0
49,13263986,ud,2,52,29.178270671130797,1,0,0,0,2,255,13.0
50,13263878,ud,2,26,2.009817953099186,1,0,0,0,2,255,13.0
51,13263890,ud,2,49,100.60258571586911,3,0,0,0,4,255,13.0
52,13263917,ud,2,5,1.8515241569824603,1,0,0,0,2,255,13.0
53,13263905,ud,2,50,49.930069372048735,2,0,0,0,3,255,13.0
54,13263935,ud,2,43,32.817533589536325,10,0,0,0,11,255,13.0
55,13263274,hl,1,1,41.58340329107355,0,140,0,0,133,255,13.0
56,13261512,cd,2,57,304.61029996053236,0,0,3,1,3,255,13.0
57,13261505,cd,2,34,240.16098008045753,0,0,2,1,2,255,13.0
58,13261529,cd,2,81,203.00335618963211,0,0,6,1,6,255,13.0
59,13261520,cd,2,66,126.22137832502759,0,0,4,1,4,255,13.0
60,13261550,cd,2,56,107.89532559076977,0,0,3,1,3,255,13.0
61,13261540,cd,2,74,138.55403630955732,0,0,5,1,5,255,13.0
62,13261558,cd,2,86,191.02986119766862,0,0,7,1,7,255,13.0
63,13261452,cd,1,55,1.337838034616266,0,0,3,1,3,255,13.0
64,13261445,cd,1,125,1.3252708846174843,0,0,2,3,2,255,13.0
65,13261468,cd,1,54,1.337838034616266,0,0,3,1,3,255,13.0
66,13261460,cd,1,53,1.337838034616266,0,0,3,1,3,255,13.0
67,13261483,cd,1,52,1.0450038064654648,0,0,3,1,3,255,13.0
68,13261476,cd,1,33,0.9803072362916412,0,0,2,1,2,255,13.0
69,13261498,cd,1,32,1.06344459787682,0,0,2,1,2,255,13.0
70,13261491,cd,1,31,1.1333011896844751,0,0,2,1,2,255,13.0
71,13261387,cd,1,30,2.5142121243770927,0,0,2,1,2,255,13.0
72,13261380,cd,1,29,2.547149624377093,0,0,2,1,2,255,13.0
73,13261401,cd,1,28,2.5142121243770927,0,0,2,1,2,255,13.0
74,13261394,cd,1,27,2.5421011783275818,0,0,2,1,2,255,13.0
75,13261422,cd,1,26,2.558533387333994,0,0,2,1,2,255,13.0
76,13261408,cd,1,25,2.673587124377093,0,0,2,1,2,255,13.0
77,13261415,cd,1,24,2.554317237091513,0,0,2,1,2,255,13.0
78,13261437,cd,1,51,1.337838034616266,0,0,3,1,3,255,13.0
79,13261429,cd,1,50,1.1733207128948886,0,0,3,1,3,255,13.0
