counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,19178491,ud,2,6,5.4322338968274835,1,0,0,0,2,347,23.0
2,19178794,ud,2,61,16.284403609065677,3,0,0,0,4,347,23.0
3,19178809,ud,2,63,2.146000736463508,1,0,0,0,2,347,23.0
4,19178758,ud,2,60,143.94046181954624,10,0,0,0,11,347,23.0
5,19178782,ud,2,59,54.296643399878285,4,0,0,0,5,347,23.0
6,19178851,ud,2,68,2.3958109994883907,1,0,0,0,2,347,23.0
7,19178860,ud,2,32,11.589520788218312,2,0,0,0,3,347,23.0
8,19178869,ud,2,64,12.544712882280873,1,0,0,0,2,347,23.0
9,19178878,ud,2,31,6.4878563659627595,2,0,0,0,3,347,23.0
10,19178842,ud,2,30,15.675498218124304,1,0,0,0,2,347,23.0
11,19178920,ud,2,22,2.8686418255782162,1,0,0,0,2,347,23.0
12,19178929,ud,2,44,5.0953494944085485,2,0,0,0,3,347,23.0
13,19178941,ud,2,43,7.873944966532129,2,0,0,0,3,347,23.0
14,19178890,ud,2,65,38.903701033031325,2,0,0,0,3,347,23.0
15,19178902,ud,2,29,4.99590615319638,2,0,0,0,3,347,23.0
16,19178977,ud,2,56,3.667279412878149,1,0,0,0,2,347,23.0
17,19178986,ud,2,55,7.273218129801071,3,0,0,0,4,347,23.0
18,19179001,ud,2,28,39.67700671606991,2,0,0,0,3,347,23.0
19,19178953,ud,2,27,5.535679336684035,2,0,0,0,3,347,23.0
20,19178965,ud,2,26,4.568192753836252,2,0,0,0,3,347,23.0
21,19178530,ud,2,21,4.225592272805068,1,0,0,0,2,347,23.0
22,19178539,ud,2,20,4.729250982626942,1,0,0,0,2,347,23.0
23,19178548,ud,2,42,134.59601475605277,3,0,0,0,4,347,23.0
24,19178557,ud,2,58,106.58057763611794,3,0,0,0,4,347,23.0
25,19178500,ud,2,52,1.0572587752803906,1,0,0,0,2,347,23.0
26,19178509,ud,2,19,7.37122565743174,1,0,0,0,2,347,23.0
27,19178518,ud,2,5,8.307348850129825,2,0,0,0,3,347,23.0
28,19178593,ud,2,41,130.88634056790198,1,0,0,0,2,347,23.0
29,19178602,ud,2,35,49.44871026529032,2,0,0,0,3,347,23.0
30,19178611,ud,2,48,41.482443727188425,1,0,0,0,2,347,23.0
31,19178620,ud,2,51,51.26067058663838,13,0,0,0,14,347,23.0
32,19178566,ud,2,54,59.36845228507343,2,0,0,0,3,347,23.0
33,19178578,ud,2,18,2.6676075435110542,2,0,0,0,3,347,23.0
34,19178665,ud,2,66,49.63923338755441,4,0,0,0,5,347,23.0
35,19178677,ud,2,4,2.6604470656638695,1,0,0,0,2,347,23.0
36,19178725,ud,2,17,75.84330414460699,3,0,0,0,4,347,23.0
37,19178734,ud,2,16,11.021380593448143,2,0,0,0,3,347,23.0
38,19178743,ud,2,47,142.78548576147844,5,0,0,0,6,347,23.0
