counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,23608298,ud,2,9,8.069825147287972,2,0,0,0,3,210,12.0
2,23608289,ud,2,37,1.9779777544295372,1,0,0,0,2,210,12.0
3,23608319,ud,2,45,3.6319635270717425,1,0,0,0,2,210,12.0
4,23608310,ud,2,57,50.87582314639947,3,0,0,0,4,210,12.0
5,23608265,ud,2,65,16.758990592588184,3,0,0,0,4,210,12.0
6,23608256,ud,2,55,1.035825832030167,1,0,0,0,2,210,12.0
7,23608277,ud,2,77,58.34483789014345,2,0,0,0,3,210,12.0
8,23608238,ud,2,71,3.3891602482772996,1,0,0,0,2,210,12.0
9,23608229,ud,2,76,1.1702046707473848,1,0,0,0,2,210,12.0
10,23608247,ud,2,30,4.149382514174887,1,0,0,0,2,210,12.0
11,23608220,ud,2,8,5.406843109102258,1,0,0,0,2,210,12.0
12,23608676,ud,2,64,41.406239560122216,2,0,0,0,3,210,12.0
13,23608697,ud,2,29,16.485096832686338,1,0,0,0,2,210,12.0
14,23608688,ud,2,70,13.503840144755278,1,0,0,0,2,210,12.0
15,23608649,ud,2,54,2.128411391328629,1,0,0,0,2,210,12.0
16,23608658,ud,2,28,6.3701295011247305,2,0,0,0,3,210,12.0
17,23608622,ud,2,61,19.13168760074494,4,0,0,0,5,210,12.0
18,23608613,ud,2,59,53.650004554133126,4,0,0,0,5,210,12.0
19,23608580,ud,2,53,134.20853550456093,5,0,0,0,6,210,12.0
20,23608811,ud,2,27,42.7555973538553,2,0,0,0,3,210,12.0
21,23608802,ud,2,68,2.9565567725819797,1,0,0,0,2,210,12.0
22,23608823,ud,2,36,4.014095993824526,1,0,0,0,2,210,12.0
23,23608778,ud,2,35,6.39217884872672,2,0,0,0,3,210,12.0
24,23608790,ud,2,44,6.5649247978947365,2,0,0,0,3,210,12.0
25,23608748,ud,2,26,3.5609735909393514,1,0,0,0,2,210,12.0
26,23608766,ud,2,43,8.205333862477163,2,0,0,0,3,210,12.0
27,23608757,ud,2,25,3.649884324213058,1,0,0,0,2,210,12.0
28,23608715,ud,2,52,9.41978488204633,4,0,0,0,5,210,12.0
29,23608706,ud,2,24,16.336281619533608,2,0,0,0,3,210,12.0
30,23608733,ud,2,23,3.916940862244764,1,0,0,0,2,210,12.0
31,23608430,ud,2,73,3.2252304924620843,1,0,0,0,2,210,12.0
32,23608421,ud,2,51,42.7829719048136,1,0,0,0,2,210,12.0
33,23608397,ud,2,50,43.13608052122657,12,0,0,0,13,210,12.0
34,23608412,ud,2,7,2.0128882031226416,1,0,0,0,2,210,12.0
35,23608364,ud,2,22,70.64299402198557,1,0,0,0,2,210,12.0
36,23608355,ud,2,78,3.481713363331584,1,0,0,0,2,210,12.0
37,23608382,ud,2,67,69.93843932711503,3,0,0,0,4,210,12.0
38,23608373,ud,2,49,64.35074701802714,2,0,0,0,3,210,12.0
39,23608328,ud,2,56,2.0400201190103964,1,0,0,0,2,210,12.0
40,23608346,ud,2,63,2.6135191123374604,1,0,0,0,2,210,12.0
41,23608337,ud,2,21,4.615216798648915,1,0,0,0,2,210,12.0
