counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,28881840,ud,2,57,38.1854949399238,12,0,0,0,13,194,11.0
2,28881822,ud,2,45,7.409607656772746,2,0,0,0,3,194,11.0
3,28881813,ud,2,66,65.8134296350574,3,0,0,0,4,194,11.0
4,28881801,ud,2,56,68.49580100983681,2,0,0,0,3,194,11.0
5,28881792,ud,2,32,64.82101894916826,1,0,0,0,2,194,11.0
6,28881918,ud,2,55,4.099413024379315,2,0,0,0,3,194,11.0
7,28881888,ud,2,44,1.5153929319409338,1,0,0,0,2,194,11.0
8,28881879,ud,2,70,3.2237556466563175,1,0,0,0,2,194,11.0
9,28881870,ud,2,15,1.9100452889964006,1,0,0,0,2,194,11.0
10,28881861,ud,2,54,18.64006658538296,1,0,0,0,2,194,11.0
11,28881723,ud,2,31,4.810149494834469,1,0,0,0,2,194,11.0
12,28881714,ud,2,43,3.3504952488574133,1,0,0,0,2,194,11.0
13,28881705,ud,2,78,1.03291436315906,1,0,0,0,2,194,11.0
14,28881693,ud,2,14,8.390392312231985,2,0,0,0,3,194,11.0
15,28881684,ud,2,13,8.207430254569871,1,0,0,0,2,194,11.0
16,28881675,ud,2,30,1.9547966130905723,1,0,0,0,2,194,11.0
17,28881666,ud,2,29,4.2248705515939795,1,0,0,0,2,194,11.0
18,28881783,ud,2,82,38.34785069894872,1,0,0,0,2,194,11.0
19,28881774,ud,2,79,3.4497192395921386,1,0,0,0,2,194,11.0
20,28881765,ud,2,75,24.02422437828332,1,0,0,0,2,194,11.0
21,28881750,ud,2,74,17.4029607075119,4,0,0,0,5,194,11.0
22,28881741,ud,2,61,2.606103452739447,1,0,0,0,2,194,11.0
23,28881732,ud,2,42,2.035420613777692,1,0,0,0,2,194,11.0
24,28881657,ud,2,12,1.4442309841790908,1,0,0,0,2,194,11.0
25,28881648,ud,2,53,1.0218159790895334,1,0,0,0,2,194,11.0
26,28881639,ud,2,83,5.5960150811609655,1,0,0,0,2,194,11.0
27,28881630,ud,2,11,6.12532974098762,1,0,0,0,2,194,11.0
28,28882362,ud,2,52,4.924228225637435,2,0,0,0,3,194,11.0
29,28882353,ud,2,67,52.062978508536474,1,0,0,0,2,194,11.0
30,28882344,ud,2,10,15.434913372561688,1,0,0,0,2,194,11.0
31,28882332,ud,2,9,2.2597921776280723,1,0,0,0,2,194,11.0
32,28882323,ud,2,64,1.5918333203016661,1,0,0,0,2,194,11.0
33,28882308,ud,2,28,11.914917984539125,1,0,0,0,2,194,11.0
34,28882431,ud,2,8,10.483490593598953,1,0,0,0,2,194,11.0
35,28882422,ud,2,51,4.357322586606847,1,0,0,0,2,194,11.0
36,28882407,ud,2,41,11.128934431017138,3,0,0,0,4,194,11.0
37,28882389,ud,2,50,2.734402129108056,1,0,0,0,2,194,11.0
38,28882380,ud,2,49,8.063036648442104,3,0,0,0,4,194,11.0
39,28882371,ud,2,63,1.7428244965636406,1,0,0,0,2,194,11.0
40,28882239,ud,2,77,5.462283643074894,1,0,0,0,2,194,11.0
41,28882227,ud,2,40,8.061705313901086,2,0,0,0,3,194,11.0
42,28882218,ud,2,27,3.916988475699583,1,0,0,0,2,194,11.0
43,28882209,ud,2,26,4.160657952924906,1,0,0,0,2,194,11.0
44,28882197,ud,2,7,3.5613150249555328,1,0,0,0,2,194,11.0
45,28882182,ud,2,48,10.300075494385423,4,0,0,0,5,194,11.0
46,28882299,ud,2,60,6.036406884132595,1,0,0,0,2,194,11.0
47,28882290,ud,2,59,1.5889670699458425,1,0,0,0,2,194,11.0
48,28882281,ud,2,25,6.819646090109234,1,0,0,0,2,194,11.0
49,28882272,ud,2,62,2.960575965409811,1,0,0,0,2,194,11.0
50,28882260,ud,2,24,39.080885793937384,2,0,0,0,3,194,11.0
51,28882248,ud,2,23,7.131579981766812,2,0,0,0,3,194,11.0
52,28882104,ud,2,22,20.21036498991153,1,0,0,0,2,194,11.0
53,28882083,ud,2,58,14.168711861254744,3,0,0,0,4,194,11.0
54,28882074,ud,2,39,7.259428116797869,1,0,0,0,2,194,11.0
55,28882065,ud,2,38,82.51599245462265,5,0,0,0,6,194,11.0
56,28882056,ud,2,37,91.92907293399189,3,0,0,0,4,194,11.0
57,28882173,ud,2,21,18.34427450772912,1,0,0,0,2,194,11.0
58,28882164,ud,2,71,15.129271315816606,1,0,0,0,2,194,11.0
59,28882155,ud,2,20,15.551669532511108,2,0,0,0,3,194,11.0
60,28882146,ud,2,6,3.779268847552977,1,0,0,0,2,194,11.0
61,28882134,ud,2,5,3.062041121970514,1,0,0,0,2,194,11.0
62,28882125,ud,2,36,2.0958971947696234,1,0,0,0,2,194,11.0
63,28882113,ud,2,69,48.58596725998911,3,0,0,0,4,194,11.0
64,28881969,ud,2,19,43.279896607103055,1,0,0,0,2,194,11.0
65,28881945,ud,2,73,67.57375028759584,10,0,0,0,11,194,11.0
