counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,31560129,ud,2,65,50.65927650935097,12,0,0,0,13,200,13.0
2,31560144,ud,2,25,19.662556451083837,2,0,0,0,3,200,13.0
3,31560153,ud,2,42,4.177173502439444,2,0,0,0,3,200,13.0
4,31560099,ud,2,19,15.96964537359099,2,0,0,0,3,200,13.0
5,31560108,ud,2,40,58.50870372630449,1,0,0,0,2,200,13.0
6,31560120,ud,2,75,27.61813925700343,1,0,0,0,2,200,13.0
7,31560075,ud,2,74,85.7417738787621,3,0,0,0,4,200,13.0
8,31560087,ud,2,73,231.9484360574193,2,0,0,0,3,200,13.0
9,31560033,ud,2,41,6.359146766475741,2,0,0,0,3,200,13.0
10,31560045,ud,2,17,2.1073948332574224,1,0,0,0,2,200,13.0
11,31560054,ud,2,64,16.281584993010576,1,0,0,0,2,200,13.0
12,31560063,ud,2,69,87.18179853888803,2,0,0,0,3,200,13.0
13,31560012,ud,2,72,1.803378329923644,1,0,0,0,2,200,13.0
14,31559973,ud,2,76,410.0856688949343,15,0,0,0,16,200,13.0
15,31559943,ud,2,82,48.89540761419664,1,0,0,0,2,200,13.0
16,31559952,ud,2,63,21.081884593336675,2,0,0,0,3,200,13.0
17,31559964,ud,2,39,54.33877040427289,1,0,0,0,2,200,13.0
18,31559919,ud,2,31,5.499089056516194,1,0,0,0,2,200,13.0
19,31559928,ud,2,62,34.445670094185104,3,0,0,0,4,200,13.0
20,31559880,ud,2,11,4.765907492459523,1,0,0,0,2,200,13.0
21,31559889,ud,2,52,12.847247988965373,3,0,0,0,4,200,13.0
22,31559898,ud,2,71,3.7776209480196448,2,0,0,0,3,200,13.0
23,31559841,ud,2,68,10.182137062649621,4,0,0,0,5,200,13.0
24,31559859,ud,2,32,7.244863077931566,2,0,0,0,3,200,13.0
25,31559871,ud,2,2,6.458598856704487,1,0,0,0,2,200,13.0
26,31559811,ud,2,70,86.9751287428949,3,0,0,0,4,200,13.0
27,31559823,ud,2,38,1.8821182538473267,1,0,0,0,2,200,13.0
28,31559832,ud,2,30,4.29783682798668,1,0,0,0,2,200,13.0
29,31559784,ud,2,18,10.664231496623145,4,0,0,0,5,200,13.0
30,31559802,ud,2,29,7.243704868303579,2,0,0,0,3,200,13.0
31,31559745,ud,2,51,2.966120366923929,1,0,0,0,2,200,13.0
32,31559754,ud,2,37,1.7292064272654617,1,0,0,0,2,200,13.0
33,31559763,ud,2,14,1.239986619058378,1,0,0,0,2,200,13.0
34,31559775,ud,2,4,3.8470675355199146,1,0,0,0,2,200,13.0
35,31559727,ud,2,61,1.7579388951093797,1,0,0,0,2,200,13.0
36,31559736,ud,2,28,7.365875287222859,2,0,0,0,3,200,13.0
37,31560678,ud,2,50,6.249565262656123,1,0,0,0,2,200,13.0
38,31560642,ud,2,36,3.736998589681488,1,0,0,0,2,200,13.0
39,31560651,ud,2,8,2.203147049804745,1,0,0,0,2,200,13.0
40,31560660,ud,2,49,35.894561875593695,1,0,0,0,2,200,13.0
41,31560669,ud,2,6,18.516783878753305,1,0,0,0,2,200,13.0
42,31560615,ud,2,16,1.4833158887611084,1,0,0,0,2,200,13.0
43,31560624,ud,2,81,3.437719668281375,1,0,0,0,2,200,13.0
44,31560633,ud,2,60,3.19746551163263,1,0,0,0,2,200,13.0
45,31560576,ud,2,24,8.48549714630693,2,0,0,0,3,200,13.0
46,31560588,ud,2,13,2.02493295525599,1,0,0,0,2,200,13.0
47,31560597,ud,2,35,1.7060325083640522,1,0,0,0,2,200,13.0
48,31560606,ud,2,48,1.9371733878085537,1,0,0,0,2,200,13.0
49,31560555,ud,2,23,63.81661271248009,2,0,0,0,3,200,13.0
50,31560567,ud,2,27,2.604994692438664,1,0,0,0,2,200,13.0
51,31560513,ud,2,47,4.72915200436707,1,0,0,0,2,200,13.0
52,31560522,ud,2,22,1.413295542487947,1,0,0,0,2,200,13.0
53,31560531,ud,2,56,3.4469258638234095,2,0,0,0,3,200,13.0
