counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,40855150,ud,2,91,9.82001004058457,1,0,0,0,2,218,8.0
2,40855141,ud,2,3,6.253159121795564,1,0,0,0,2,218,8.0
3,40855159,ud,2,38,6.849192973354894,2,0,0,0,3,218,8.0
4,40855117,ud,2,84,74.24588366325303,3,0,0,0,4,218,8.0
5,40855105,ud,2,31,17.675058947578876,2,0,0,0,3,218,8.0
6,40855129,ud,2,10,4.358748917657218,2,0,0,0,3,218,8.0
7,40855081,ud,2,76,43.54033419527984,8,0,0,0,9,218,8.0
8,40855051,ud,2,30,23.927169128129165,1,0,0,0,2,218,8.0
9,40855042,ud,2,44,63.873793739208594,2,0,0,0,3,218,8.0
10,40855069,ud,2,59,114.57791765616582,3,0,0,0,4,218,8.0
11,40855060,ud,2,18,2.1658075672388515,1,0,0,0,2,218,8.0
12,40855279,ud,2,90,5.350515344572242,1,0,0,0,2,218,8.0
13,40855270,ud,2,58,1.7971472047099977,1,0,0,0,2,218,8.0
14,40855288,ud,2,49,32.36862543065432,3,0,0,0,4,218,8.0
15,40855246,ud,2,9,3.0938451418423645,1,0,0,0,2,218,8.0
16,40855234,ud,2,8,3.972013239006126,1,0,0,0,2,218,8.0
17,40855261,ud,2,29,2.357833393777396,1,0,0,0,2,218,8.0
18,40855207,ud,2,62,97.25790154659603,4,0,0,0,5,218,8.0
19,40855225,ud,2,17,1.4101085297167466,1,0,0,0,2,218,8.0
20,40855216,ud,2,61,80.99361293933802,2,0,0,0,3,218,8.0
21,40855180,ud,2,89,15.473106912863152,1,0,0,0,2,218,8.0
22,40855171,ud,2,37,1.8487946131021826,1,0,0,0,2,218,8.0
23,40855198,ud,2,28,18.56969296354997,1,0,0,0,2,218,8.0
24,40855189,ud,2,64,51.40711924812538,2,0,0,0,3,218,8.0
25,40855405,ud,2,27,47.97696424615731,2,0,0,0,3,218,8.0
26,40855393,ud,2,26,19.36014483686465,2,0,0,0,3,218,8.0
27,40855417,ud,2,85,3.272641689080195,1,0,0,0,2,218,8.0
28,40855375,ud,2,43,4.275355137313812,2,0,0,0,3,218,8.0
29,40855363,ud,2,36,1.4122170107777816,1,0,0,0,2,218,8.0
30,40855384,ud,2,74,4.19167890931727,1,0,0,0,2,218,8.0
31,40855342,ud,2,73,2.0930150047534752,1,0,0,0,2,218,8.0
32,40855333,ud,2,60,3.4492870598559118,2,0,0,0,3,218,8.0
33,40855354,ud,2,83,8.51213215206147,2,0,0,0,3,218,8.0
34,40855303,ud,2,1,3.7698065892819783,1,0,0,0,2,218,8.0
35,40855321,ud,2,57,8.370887877974358,2,0,0,0,3,218,8.0
36,40855312,ud,2,25,1.7910035835697207,1,0,0,0,2,218,8.0
37,40855528,ud,2,42,3.728007201582279,1,0,0,0,2,218,8.0
38,40855546,ud,2,7,16.71200535011998,1,0,0,0,2,218,8.0
39,40855537,ud,2,56,34.887609950047256,1,0,0,0,2,218,8.0
40,40855501,ud,2,72,3.205323252633605,1,0,0,0,2,218,8.0
41,40855492,ud,2,41,1.7019669683758594,1,0,0,0,2,218,8.0
42,40855519,ud,2,6,2.1176610941787493,1,0,0,0,2,218,8.0
43,40855510,ud,2,24,1.9369964482049697,1,0,0,0,2,218,8.0
44,40855465,ud,2,88,3.443998546750923,1,0,0,0,2,218,8.0
45,40855483,ud,2,23,1.4792105096769395,1,0,0,0,2,218,8.0
