counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,59642763,ud,2,69,29.960805168954735,8,0,0,0,9,221,11.0
2,59642754,ud,2,81,77.10394937685165,3,0,0,0,4,221,11.0
3,59642781,ud,2,55,26.33254138936919,4,0,0,0,5,221,11.0
4,59642772,ud,2,54,119.35584875158402,3,0,0,0,4,221,11.0
5,59642793,ud,2,92,3.296600306851854,2,0,0,0,3,221,11.0
6,59642814,ud,2,43,71.62900188263406,2,0,0,0,3,221,11.0
7,59642805,ud,2,24,10.551649546106843,4,0,0,0,5,221,11.0
8,59642841,ud,2,23,3.3510189496876994,1,0,0,0,2,221,11.0
9,59642832,ud,2,42,19.614458964629026,1,0,0,0,2,221,11.0
10,59642862,ud,2,91,5.16971368860775,1,0,0,0,2,221,11.0
11,59642850,ud,2,22,2.144736980280859,1,0,0,0,2,221,11.0
12,59642871,ud,2,8,3.1082084733583004,1,0,0,0,2,221,11.0
13,59642745,ud,2,7,3.5894716408536813,1,0,0,0,2,221,11.0
14,59643789,ud,2,80,242.43933395324572,2,0,0,0,3,221,11.0
15,59643657,ud,2,41,4.365352278733619,1,0,0,0,2,221,11.0
16,59643648,ud,2,68,14.50285778554539,1,0,0,0,2,221,11.0
17,59643675,ud,2,53,52.34693843161371,1,0,0,0,2,221,11.0
18,59643687,ud,2,67,215.59351434834986,1,0,0,0,2,221,11.0
19,59643702,ud,2,52,4.247317695703123,2,0,0,0,3,221,11.0
20,59643723,ud,2,66,67.90407134633598,12,0,0,0,13,221,11.0
21,59643714,ud,2,6,7.398884337588219,1,0,0,0,2,221,11.0
22,59643774,ud,2,21,1.2861716750006194,1,0,0,0,2,221,11.0
23,59643765,ud,2,65,4.15215985013963,1,0,0,0,2,221,11.0
24,59643534,ud,2,40,6.158808660906123,1,0,0,0,2,221,11.0
25,59643543,ud,2,51,28.50654086896073,2,0,0,0,3,221,11.0
26,59643567,ud,2,39,5.635311937724916,2,0,0,0,3,221,11.0
27,59643558,ud,2,90,50.24438683535034,1,0,0,0,2,221,11.0
28,59643579,ud,2,85,473.608107625453,15,0,0,0,16,221,11.0
29,59643630,ud,2,76,232.86444570877168,2,0,0,0,3,221,11.0
30,59643639,ud,2,20,2.0375469136100404,1,0,0,0,2,221,11.0
31,59643399,ud,2,19,5.586142382948616,1,0,0,0,2,221,11.0
32,59643417,ud,2,89,3.2404734807419646,1,0,0,0,2,221,11.0
33,59643408,ud,2,5,3.3771502105017794,1,0,0,0,2,221,11.0
34,59643432,ud,2,18,9.671286071465317,3,0,0,0,4,221,11.0
35,59643450,ud,2,38,3.314664933331425,1,0,0,0,2,221,11.0
36,59643441,ud,2,37,5.51094598384962,1,0,0,0,2,221,11.0
37,59643459,ud,2,50,2.2751828131011065,1,0,0,0,2,221,11.0
38,59643483,ud,2,36,9.193005383198162,1,0,0,0,2,221,11.0
39,59643501,ud,2,88,5.328383984099955,1,0,0,0,2,221,11.0
40,59643492,ud,2,75,18.540747397383804,1,0,0,0,2,221,11.0
41,59643519,ud,2,35,3.857007329970938,1,0,0,0,2,221,11.0
42,59643510,ud,2,4,4.781317204348806,1,0,0,0,2,221,11.0
43,59643279,ud,2,49,1.935588202861529,1,0,0,0,2,221,11.0
44,59643270,ud,2,17,1.4750534473045889,1,0,0,0,2,221,11.0
45,59643288,ud,2,64,3.193406168205313,1,0,0,0,2,221,11.0
46,59643306,ud,2,16,2.1997450852704308,1,0,0,0,2,221,11.0
47,59643297,ud,2,74,8.74603811389631,4,0,0,0,5,221,11.0
48,59643324,ud,2,79,1.7185571825885129,1,0,0,0,2,221,11.0
49,59643315,ud,2,48,40.47461912889352,1,0,0,0,2,221,11.0
50,59643342,ud,2,78,2.1487916871217063,1,0,0,0,2,221,11.0
51,59643333,ud,2,73,6.174689013527116,1,0,0,0,2,221,11.0
52,59643351,ud,2,63,9.958752118126277,2,0,0,0,3,221,11.0
53,59643369,ud,2,3,18.625352112425354,1,0,0,0,2,221,11.0
54,59643360,ud,2,47,6.512978224406764,1,0,0,0,2,221,11.0
55,59643387,ud,2,34,1.7119561679047441,1,0,0,0,2,221,11.0
56,59643378,ud,2,33,6.732673267974006,2,0,0,0,3,221,11.0
57,59643144,ud,2,62,3.4415971943301926,2,0,0,0,3,221,11.0
58,59643165,ud,2,77,64.60572064071233,3,0,0,0,4,221,11.0
59,59643156,ud,2,32,2.561621742701283,1,0,0,0,2,221,11.0
60,59643183,ud,2,2,2.679281369244883,1,0,0,0,2,221,11.0
61,59643174,ud,2,83,4.177706136703986,1,0,0,0,2,221,11.0
62,59643192,ud,2,72,3.2464918171519113,1,0,0,0,2,221,11.0
63,59643210,ud,2,31,4.24997293681915,1,0,0,0,2,221,11.0
64,59643201,ud,2,15,2.028968117350955,1,0,0,0,2,221,11.0
65,59643228,ud,2,71,4.624972539004906,1,0,0,0,2,221,11.0
66,59643219,ud,2,82,7.112582764425385,2,0,0,0,3,221,11.0
67,59643246,ud,2,30,11.504377225824133,3,0,0,0,4,221,11.0
68,59643237,ud,2,29,1.7059467116151517,1,0,0,0,2,221,11.0
69,59643261,ud,2,87,3.4180467850599285,1,0,0,0,2,221,11.0
70,59643033,ud,2,14,4.014142797448029,1,0,0,0,2,221,11.0
71,59643024,ud,2,13,6.313861969504448,1,0,0,0,2,221,11.0
72,59643051,ud,2,61,4.23957728030199,1,0,0,0,2,221,11.0
73,59643042,ud,2,46,1.7964335336906099,1,0,0,0,2,221,11.0
74,59643069,ud,2,45,4.635661930065128,1,0,0,0,2,221,11.0
75,59643060,ud,2,28,1.4004544027945134,1,0,0,0,2,221,11.0
76,59643078,ud,2,60,39.80897052533104,4,0,0,0,5,221,11.0
77,59643090,ud,2,12,1.939201879773527,1,0,0,0,2,221,11.0
78,59643114,ud,2,27,53.310261262149844,2,0,0,0,3,221,11.0
79,59643105,ud,2,44,7.589043949904364,1,0,0,0,2,221,11.0
80,59643135,ud,2,59,2.0878671276447807,1,0,0,0,2,221,11.0
81,59643126,ud,2,58,5.016170956806997,1,0,0,0,2,221,11.0
82,59642892,ud,2,84,17.80885493170269,1,0,0,0,2,221,11.0
83,59642880,ud,2,26,7.28922461553679,2,0,0,0,3,221,11.0
84,59642910,ud,2,11,20.733462724150076,1,0,0,0,2,221,11.0
85,59642901,ud,2,70,123.55813285770846,5,0,0,0,6,221,11.0
86,59642919,ud,2,57,51.39258313817075,2,0,0,0,3,221,11.0
87,59642931,ud,2,56,91.89610823830343,2,0,0,0,3,221,11.0
88,59642946,ud,2,93,19.68516222871458,3,0,0,0,4,221,11.0
89,59642970,ud,2,10,4.132541212683291,1,0,0,0,2,221,11.0
90,59642961,ud,2,1,2.9566634051151692,1,0,0,0,2,221,11.0
91,59642988,ud,2,86,5.381965949583147,1,0,0,0,2,221,11.0
92,59642979,ud,2,25,1.9075993189665499,1,0,0,0,2,221,11.0
