counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,64476123,ud,2,32,10.760143154359048,4,0,0,0,5,240,9.0
2,64476096,ud,2,48,29.251942704859204,4,0,0,0,5,240,9.0
3,64476105,ud,2,88,3.484771794028676,2,0,0,0,3,240,9.0
4,64476147,ud,2,94,5.212009919302605,1,0,0,0,2,240,9.0
5,64476156,ud,2,11,2.8304497666301183,1,0,0,0,2,240,9.0
6,64476138,ud,2,10,2.9819503719267764,1,0,0,0,2,240,9.0
7,64476048,ud,2,31,2.1378232689386607,1,0,0,0,2,240,9.0
8,64476057,ud,2,85,84.40168071320203,3,0,0,0,4,240,9.0
9,64476039,ud,2,30,20.314046858826764,1,0,0,0,2,240,9.0
10,64476087,ud,2,77,31.566353299290746,8,0,0,0,9,240,9.0
11,64476066,ud,2,63,124.55580998820807,3,0,0,0,4,240,9.0
12,64476075,ud,2,9,2.976462434514457,1,0,0,0,2,240,9.0
13,64476030,ud,2,47,72.7430295081417,2,0,0,0,3,240,9.0
14,64477137,ud,2,46,1.9923050263137967,2,0,0,0,3,240,9.0
15,64477128,ud,2,76,4.162342334702285,1,0,0,0,2,240,9.0
16,64477155,ud,2,84,252.42152481513358,2,0,0,0,3,240,9.0
17,64477080,ud,2,8,6.849458961950884,1,0,0,0,2,240,9.0
18,64477059,ud,2,45,4.2436552188726,2,0,0,0,3,240,9.0
19,64477068,ud,2,29,2.6676223790205227,1,0,0,0,2,240,9.0
20,64477014,ud,2,44,4.466816169880071,1,0,0,0,2,240,9.0
21,64476996,ud,2,75,15.27494549136453,1,0,0,0,2,240,9.0
22,64477005,ud,2,28,2.035318727126117,1,0,0,0,2,240,9.0
23,64477050,ud,2,74,222.98846476804545,1,0,0,0,2,240,9.0
24,64477032,ud,2,43,58.09161688994688,1,0,0,0,2,240,9.0
25,64476936,ud,2,89,490.86383920576225,15,0,0,0,16,240,9.0
26,64476966,ud,2,81,243.98813464054385,2,0,0,0,3,240,9.0
27,64476885,ud,2,42,6.218517346250589,1,0,0,0,2,240,9.0
28,64476873,ud,2,99,4.049763057850695,2,0,0,0,3,240,9.0
