counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,70368305,ud,2,35,3.6365295911396602,1,0,0,0,2,231,8.0
2,70368314,ud,2,68,64.38917398090464,2,0,0,0,3,231,8.0
3,70368296,ud,2,34,4.422100974445746,1,0,0,0,2,231,8.0
4,70368278,ud,2,67,21.07501388433653,8,0,0,0,9,231,8.0
5,70368257,ud,2,51,4.778173978959096,2,0,0,0,3,231,8.0
6,70368269,ud,2,50,57.02708858897286,1,0,0,0,2,231,8.0
7,70368368,ud,2,13,5.065402234987131,1,0,0,0,2,231,8.0
8,70368377,ud,2,49,5.139553806975668,2,0,0,0,3,231,8.0
9,70368356,ud,2,92,3.887060454724641,2,0,0,0,3,231,8.0
10,70368347,ud,2,88,1.7970405372000136,1,0,0,0,2,231,8.0
11,70368326,ud,2,90,1.210806014081026,1,0,0,0,2,231,8.0
12,70368335,ud,2,33,4.041770566433804,1,0,0,0,2,231,8.0
13,70368437,ud,2,48,26.87891707951176,4,0,0,0,5,231,8.0
14,70368419,ud,2,66,10.745769296187934,2,0,0,0,3,231,8.0
15,70368428,ud,2,47,4.378042744165047,2,0,0,0,3,231,8.0
16,70368407,ud,2,12,6.393416138837253,2,0,0,0,3,231,8.0
17,70368389,ud,2,74,20.29245190993979,1,0,0,0,2,231,8.0
18,70368398,ud,2,32,5.416481289130945,1,0,0,0,2,231,8.0
19,70368503,ud,2,11,6.700009487981724,1,0,0,0,2,231,8.0
20,70368485,ud,2,31,4.426562439588906,1,0,0,0,2,231,8.0
21,70368494,ud,2,65,12.670398182116145,1,0,0,0,2,231,8.0
22,70368464,ud,2,46,29.811865322553462,2,0,0,0,3,231,8.0
23,70368476,ud,2,89,2.3090749277043305,1,0,0,0,2,231,8.0
24,70368452,ud,2,45,1.6409963027024177,1,0,0,0,2,231,8.0
25,70368569,ud,2,91,2.217070087077275,1,0,0,0,2,231,8.0
26,70368557,ud,2,79,3.8212408477207904,2,0,0,0,3,231,8.0
27,70368536,ud,2,10,1.4172878098264161,1,0,0,0,2,231,8.0
28,70368512,ud,2,87,3.6290675867305957,1,0,0,0,2,231,8.0
29,70368521,ud,2,9,2.8602704125264125,1,0,0,0,2,231,8.0
30,70368626,ud,2,86,2.4152108002742403,1,0,0,0,2,231,8.0
31,70368635,ud,2,8,2.8517359461199954,1,0,0,0,2,231,8.0
32,70368614,ud,2,7,2.880972803471934,1,0,0,0,2,231,8.0
33,70368596,ud,2,30,2.386916981288788,1,0,0,0,2,231,8.0
34,70368605,ud,2,78,9.546714536573464,1,0,0,0,2,231,8.0
35,70368578,ud,2,29,3.143613801814608,1,0,0,0,2,231,8.0
36,70368587,ud,2,64,53.3605230126827,2,0,0,0,3,231,8.0
37,70368689,ud,2,28,1.3852541123551996,1,0,0,0,2,231,8.0
38,70368698,ud,2,63,3.451169953848641,2,0,0,0,3,231,8.0
39,70368680,ud,2,62,3.518172894866504,1,0,0,0,2,231,8.0
40,70368662,ud,2,27,2.5586306302998043,1,0,0,0,2,231,8.0
41,70368671,ud,2,26,2.011462273601731,1,0,0,0,2,231,8.0
42,70368644,ud,2,25,12.452765545528267,1,0,0,0,2,231,8.0
43,70368653,ud,2,24,2.069641172572088,1,0,0,0,2,231,8.0
44,70368761,ud,2,44,1.7102404542125529,1,0,0,0,2,231,8.0
45,70368740,ud,2,43,4.071050765581404,1,0,0,0,2,231,8.0
46,70368749,ud,2,23,6.89895860339421,2,0,0,0,3,231,8.0
47,70368731,ud,2,85,3.3802809387413326,1,0,0,0,2,231,8.0
48,70368710,ud,2,61,2.0885438981169235,1,0,0,0,2,231,8.0
49,70368719,ud,2,73,8.910163215831265,4,0,0,0,5,231,8.0
50,70368824,ud,2,6,3.581339328704252,1,0,0,0,2,231,8.0
51,70368806,ud,2,22,3.9925637392014215,1,0,0,0,2,231,8.0
52,70368815,ud,2,21,1.256181023712878,1,0,0,0,2,231,8.0
53,70368788,ud,2,84,4.475568588526624,1,0,0,0,2,231,8.0
54,70368770,ud,2,72,6.723275561874369,1,0,0,0,2,231,8.0
55,70368779,ud,2,5,8.536081089442094,2,0,0,0,3,231,8.0
56,70368854,ud,2,20,6.577763314993207,1,0,0,0,2,231,8.0
57,70368863,ud,2,60,229.2386896102139,1,0,0,0,2,231,8.0
58,70368833,ud,2,42,3.389795878543918,1,0,0,0,2,231,8.0
59,70368845,ud,2,83,52.758493814419886,1,0,0,0,2,231,8.0
60,70368950,ud,2,71,250.58023687066762,2,0,0,0,3,231,8.0
61,70368920,ud,2,82,471.4589599468325,14,0,0,0,15,231,8.0
62,70368911,ud,2,19,2.0318065252031077,1,0,0,0,2,231,8.0
63,70369016,ud,2,59,218.83039409391895,1,0,0,0,2,231,8.0
64,70369004,ud,2,58,4.131135586044277,1,0,0,0,2,231,8.0
65,70367990,ud,2,18,7.407576791184674,2,0,0,0,3,231,8.0
66,70367972,ud,2,17,19.64143203894801,1,0,0,0,2,231,8.0
67,70367981,ud,2,70,142.39959977872027,6,0,0,0,7,231,8.0
68,70367954,ud,2,4,2.468868777273943,1,0,0,0,2,231,8.0
69,70367963,ud,2,81,17.179777766074146,1,0,0,0,2,231,8.0
70,70368056,ud,2,41,93.91098179242087,3,0,0,0,4,231,8.0
71,70368035,ud,2,57,29.09396908013106,7,0,0,0,8,231,8.0
72,70368047,ud,2,16,18.189676176397327,1,0,0,0,2,231,8.0
73,70368023,ud,2,56,66.70256910257096,2,0,0,0,3,231,8.0
74,70368002,ud,2,3,4.301426790395454,1,0,0,0,2,231,8.0
75,70368119,ud,2,40,11.739625642932554,3,0,0,0,4,231,8.0
76,70368098,ud,2,55,6.162003215171811,1,0,0,0,2,231,8.0
77,70368107,ud,2,15,55.82204878802888,2,0,0,0,3,231,8.0
78,70368080,ud,2,54,4.317858040527327,1,0,0,0,2,231,8.0
79,70368089,ud,2,39,4.682000173030857,1,0,0,0,2,231,8.0
80,70368065,ud,2,77,80.58750882376981,3,0,0,0,4,231,8.0
81,70368179,ud,2,2,19.9109559964672,1,0,0,0,2,231,8.0
82,70368188,ud,2,38,6.3578856716095125,1,0,0,0,2,231,8.0
83,70368161,ud,2,53,54.69810591578426,4,0,0,0,5,231,8.0
84,70368152,ud,2,37,6.422308491613462,1,0,0,0,2,231,8.0
85,70368134,ud,2,36,1.8240447854404018,1,0,0,0,2,231,8.0
86,70368143,ud,2,14,5.390528018228752,1,0,0,0,2,231,8.0
87,70368248,ud,2,76,90.31143455982279,20,0,0,0,21,231,8.0
