counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,2196908,ud,2,4,7.909598109205616,1,0,0,0,2,192,12.0
2,2196917,ud,2,25,7.269486672930324,1,0,0,0,2,192,12.0
3,2196926,ud,2,36,64.573648469197,2,0,0,0,3,192,12.0
4,2196971,ud,2,32,4.05551030736523,1,0,0,0,2,192,12.0
5,2196980,ud,2,31,4.703192062938984,1,0,0,0,2,192,12.0
6,2196989,ud,2,33,10.750906857016437,3,0,0,0,4,192,12.0
7,2196938,ud,2,30,49.0241403731948,1,0,0,0,2,192,12.0
8,2196947,ud,2,24,3.5905420556079797,1,0,0,0,2,192,12.0
9,2196956,ud,2,16,12.472094702364977,4,0,0,0,5,192,12.0
10,2197028,ud,2,15,1.9801136683199525,1,0,0,0,2,192,12.0
11,2197037,ud,2,35,1.684212252449843,1,0,0,0,2,192,12.0
12,2197046,ud,2,3,3.8724606545801623,1,0,0,0,2,192,12.0
13,2197055,ud,2,23,45.09892279671766,2,0,0,0,3,192,12.0
14,2197001,ud,2,2,3.8618454725346085,1,0,0,0,2,192,12.0
15,2197013,ud,2,19,13.182163973994566,3,0,0,0,4,192,12.0
16,2197088,ud,2,11,11.047062392349934,1,0,0,0,2,192,12.0
17,2197097,ud,2,34,82.25024594625934,4,0,0,0,5,192,12.0
18,2197112,ud,2,14,57.71819761430196,1,0,0,0,2,192,12.0
19,2197067,ud,2,22,3.742729336599118,2,0,0,0,3,192,12.0
20,2197079,ud,2,18,2.9802590566353118,1,0,0,0,2,192,12.0
21,2197154,ud,2,17,2.9699177128524483,1,0,0,0,2,192,12.0
22,2197163,ud,2,1,5.210142398048609,1,0,0,0,2,192,12.0
23,2197181,ud,2,10,3.3615710755537695,1,0,0,0,2,192,12.0
24,2197124,ud,2,29,4.952829695909985,1,0,0,0,2,192,12.0
25,2197133,ud,2,28,63.32309312551833,5,0,0,0,6,192,12.0
26,2197145,ud,2,9,1.845197530815044,1,0,0,0,2,192,12.0
27,2197217,ud,2,8,10.263359789446717,3,0,0,0,4,192,12.0
