counter,AS,Type,GranularityValue,SeverityScore,PageRank,NumBadDep,TotalDep,NumberOfVerteces,NumOfCycle,NumSetOfElement,TotNumOfSetOfElement,ADI
1,4279749,ud,2,13,2.172859061074756,1,0,0,0,2,224,15.0
2,4279758,ud,2,12,2.4955933687771377,1,0,0,0,2,224,15.0
3,4279767,ud,2,27,56.89606883302063,2,0,0,0,3,224,15.0
4,4279776,ud,2,17,3.702876777172605,2,0,0,0,3,224,15.0
5,4279791,ud,2,6,15.70771453855122,1,0,0,0,2,224,15.0
6,4279800,ud,2,26,86.92112179324442,3,0,0,0,4,224,15.0
7,4279704,ud,2,25,8.452294815261084,3,0,0,0,4,224,15.0
8,4279719,ud,2,11,7.612407765389415,2,0,0,0,3,224,15.0
9,4279731,ud,2,33,1.7886271392656816,1,0,0,0,2,224,15.0
10,4279740,ud,2,5,2.8464027358878394,1,0,0,0,2,224,15.0
11,4279881,ud,2,4,17.3912935606224,2,0,0,0,3,224,15.0
12,4279890,ud,2,36,1.619526652421039,1,0,0,0,2,224,15.0
13,4279899,ud,2,10,4.184140596794708,1,0,0,0,2,224,15.0
14,4279908,ud,2,16,2.292911169123487,1,0,0,0,2,224,15.0
15,4279917,ud,2,31,6.657870057694627,1,0,0,0,2,224,15.0
16,4279926,ud,2,30,3.708072421906752,1,0,0,0,2,224,15.0
17,4279935,ud,2,9,3.6778185681804203,1,0,0,0,2,224,15.0
18,4279809,ud,2,24,96.74376253257549,2,0,0,0,3,224,15.0
19,4279827,ud,2,15,4.775363425035256,1,0,0,0,2,224,15.0
20,4279836,ud,2,8,59.30280437199207,3,0,0,0,4,224,15.0
21,4279848,ud,2,34,75.20473203697011,3,0,0,0,4,224,15.0
22,4279857,ud,2,3,7.584051708086621,2,0,0,0,3,224,15.0
23,4279869,ud,2,29,4.46371687253126,1,0,0,0,2,224,15.0
24,4280001,ud,2,14,4.591379990819659,2,0,0,0,3,224,15.0
25,4280013,ud,2,35,1.908124171306667,1,0,0,0,2,224,15.0
26,4280022,ud,2,7,11.99032482131646,1,0,0,0,2,224,15.0
27,4280031,ud,2,32,5.473479884337992,1,0,0,0,2,224,15.0
28,4280040,ud,2,37,2.4721345236691885,1,0,0,0,2,224,15.0
29,4280049,ud,2,2,5.289643869119624,1,0,0,0,2,224,15.0
30,4279947,ud,2,28,117.15162322999086,7,0,0,0,8,224,15.0
31,4279962,ud,2,23,21.830521935700432,7,0,0,0,8,224,15.0
32,4279983,ud,2,22,4.825790744322823,1,0,0,0,2,224,15.0
33,4279992,ud,2,1,6.230901273221261,1,0,0,0,2,224,15.0
34,4280064,ud,2,21,5.296317338674095,1,0,0,0,2,224,15.0
35,4280073,ud,2,20,52.04959950910005,1,0,0,0,2,224,15.0
36,4280100,ud,2,19,4.017880239449341,1,0,0,0,2,224,15.0
37,4280109,ud,2,18,3.9852976972113807,1,0,0,0,2,224,15.0
38,4279488,hl,1,3,30.174207357428333,0,100,0,0,93,224,15.0
39,4279662,hl,2,1,333.7299181813327,0,34,0,0,35,224,15.0
40,4279596,hl,2,2,310.9403969652739,0,58,0,0,56,224,15.0
41,4276809,cd,1,54,3.1865210561100437,0,0,4,1,4,224,15.0
42,4276818,cd,1,45,2.364369524154001,0,0,3,1,3,224,15.0
43,4276826,cd,1,30,2.0704827063691313,0,0,2,1,2,224,15.0
44,4276833,cd,1,29,2.042728846686921,0,0,2,1,2,224,15.0
45,4276840,cd,1,28,2.042728846686921,0,0,2,1,2,224,15.0
46,4276847,cd,1,27,2.1691663466869207,0,0,2,1,2,224,15.0
47,4276854,cd,1,26,2.042728846686921,0,0,2,1,2,224,15.0
48,4276861,cd,1,25,2.0704827063691313,0,0,2,1,2,224,15.0
49,4276928,cd,1,24,1.0637620619010038,0,0,2,1,2,224,15.0
50,4276935,cd,2,23,92.12497880144078,0,0,2,1,2,224,15.0
51,4276942,cd,2,60,173.84652670311573,0,0,5,1,5,224,15.0
52,4276952,cd,2,75,174.00885688305502,0,0,8,1,8,224,15.0
53,4276965,cd,2,59,85.48815776382965,0,0,5,1,5,224,15.0
54,4276975,cd,2,153,18.456463314238775,0,0,2,2,2,224,15.0
55,4276982,cd,2,53,55.152748880243166,0,0,4,1,4,224,15.0
56,4276991,cd,2,65,84.21662054433686,0,0,6,1,6,224,15.0
57,4276868,cd,1,22,2.042728846686921,0,0,2,1,2,224,15.0
58,4276875,cd,1,21,2.042728846686921,0,0,2,1,2,224,15.0
59,4276882,cd,1,44,1.3836029785367978,0,0,3,1,3,224,15.0
60,4276890,cd,1,43,1.3836029785367978,0,0,3,1,3,224,15.0
61,4276898,cd,1,42,1.3836029785367978,0,0,3,1,3,224,15.0
62,4276906,cd,1,41,1.3836029785367978,0,0,3,1,3,224,15.0
63,4276914,cd,1,154,1.3710657653808878,0,0,2,3,2,224,15.0
64,4276921,cd,1,20,0.9644251451413345,0,0,2,1,2,224,15.0
65,4277067,cd,2,19,38.48089583472828,0,0,2,1,2,224,15.0
66,4277074,cd,2,80,194.5335668251369,0,0,9,1,9,224,15.0
67,4277088,cd,2,18,9.043919217456965,0,0,2,1,2,224,15.0
68,4277095,cd,2,40,38.981173256320666,0,0,3,1,3,224,15.0
69,4277103,cd,2,87,195.7437005394393,0,0,10,1,10,224,15.0
70,4277118,cd,2,52,40.19130697062307,0,0,4,1,4,224,15.0
