"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"1","1","142348","ud","2","1","6.82810339845094","1","0","0","0","2","8","7","outfjage","28","34","13d8105b425c76c02ddf9400552c97a9c83dda02.csv"
"2","2","142332","hl","2","1","22.6943140066342","0","8","0","0","8","8","7","outfjage","28","34","13d8105b425c76c02ddf9400552c97a9c83dda02.csv"
"3","3","142317","cd","2","1","8.32006304754633","0","0","2","1","2","8","7","outfjage","28","34","13d8105b425c76c02ddf9400552c97a9c83dda02.csv"
"4","1","148299","ud","2","1","6.8300415935803","1","0","0","0","2","8","7","outfjage","29","35","de3a3fe881906614b6b10ce554b07a56f58bac10.csv"
"5","2","148283","hl","2","1","23.3036865341568","0","8","0","0","8","8","7","outfjage","29","35","de3a3fe881906614b6b10ce554b07a56f58bac10.csv"
"6","3","148268","cd","2","1","8.36806262807629","0","0","2","1","2","8","7","outfjage","29","35","de3a3fe881906614b6b10ce554b07a56f58bac10.csv"
"7","1","154299","ud","2","1","6.8300415935803","1","0","0","0","2","8","7","outfjage","30","36","da590a7485cc1cebffff4a5675af61f80c4d8c1a.csv"
"8","2","154283","hl","2","1","23.3036865341568","0","8","0","0","8","8","7","outfjage","30","36","da590a7485cc1cebffff4a5675af61f80c4d8c1a.csv"
"9","3","154268","cd","2","1","8.36806262807629","0","0","2","1","2","8","7","outfjage","30","36","da590a7485cc1cebffff4a5675af61f80c4d8c1a.csv"
"10","1","160249","ud","2","1","6.8300415935803","1","0","0","0","2","8","7","outfjage","31","37","ea6c42b063c133c9ffae216811de693b871f75a6.csv"
"11","2","160233","hl","2","1","23.3036865341568","0","8","0","0","8","8","7","outfjage","31","37","ea6c42b063c133c9ffae216811de693b871f75a6.csv"
"12","3","160218","cd","2","1","8.36806262807629","0","0","2","1","2","8","7","outfjage","31","37","ea6c42b063c133c9ffae216811de693b871f75a6.csv"
"13","1","166219","ud","2","1","6.82972396044886","1","0","0","0","2","8","7","outfjage","32","38","34e385b89acb9d9aa3b348f6825e3169e98356c6.csv"
"14","2","166203","hl","2","1","23.302589153196","0","8","0","0","8","8","7","outfjage","32","38","34e385b89acb9d9aa3b348f6825e3169e98356c6.csv"
"15","3","166188","cd","2","1","8.3676965186727","0","0","2","1","2","8","7","outfjage","32","38","34e385b89acb9d9aa3b348f6825e3169e98356c6.csv"
"16","1","172357","ud","2","1","7.1287333719836","1","0","0","0","2","9","7","outfjage","33","39","d35572694ad92e19a265022ee391102428ca61c4.csv"
"17","2","172340","hl","2","1","25.0623390217798","0","9","0","0","9","9","7","outfjage","33","39","d35572694ad92e19a265022ee391102428ca61c4.csv"
"18","3","172325","cd","2","1","8.70588182315374","0","0","2","1","2","9","7","outfjage","33","39","d35572694ad92e19a265022ee391102428ca61c4.csv"
"19","1","178801","ud","2","1","7.20948648076528","1","0","0","0","2","2","3","outfjage","35","40","261b83e8de58ccf91a07fe02bc1be03170b705e7.csv"
"20","2","178786","cd","2","1","8.77610223856346","0","0","2","1","2","2","3","outfjage","35","40","261b83e8de58ccf91a07fe02bc1be03170b705e7.csv"
"21","1","184950","ud","2","1","9.95165856193166","2","0","0","0","3","9","8","outfjage","36","41","1ddf14d01e88a1265159d7f4b13eb947622e3ab6.csv"
"22","2","184932","hl","2","1","30.1016786055292","0","10","0","0","9","9","8","outfjage","36","41","1ddf14d01e88a1265159d7f4b13eb947622e3ab6.csv"
"23","3","184895","cd","2","2","8.70330455132287","0","0","2","1","2","9","8","outfjage","36","41","1ddf14d01e88a1265159d7f4b13eb947622e3ab6.csv"
"24","4","184902","cd","2","1","11.2000125725404","0","0","2","1","2","9","8","outfjage","36","41","1ddf14d01e88a1265159d7f4b13eb947622e3ab6.csv"
"25","1","191754","ud","2","2","7.44416870442424","1","0","0","0","2","9","8","outfjage","37","42","362d1dc7ad3416f6d01d604868d3ebc40238351e.csv"
"26","2","191763","ud","2","1","8.69252271503303","1","0","0","0","2","9","8","outfjage","37","42","362d1dc7ad3416f6d01d604868d3ebc40238351e.csv"
"27","3","191736","hl","2","1","30.460627273997","0","10","0","0","9","9","8","outfjage","37","42","362d1dc7ad3416f6d01d604868d3ebc40238351e.csv"
"28","4","191699","cd","2","2","8.8885264733607","0","0","2","1","2","9","8","outfjage","37","42","362d1dc7ad3416f6d01d604868d3ebc40238351e.csv"
"29","5","191706","cd","2","1","11.3852344945783","0","0","2","1","2","9","8","outfjage","37","42","362d1dc7ad3416f6d01d604868d3ebc40238351e.csv"
"30","1","199128","ud","2","1","11.2846470967079","2","0","0","0","3","3","3","outfjage","38","43","d74558b656c14eadc8487819f374ef9b98d5b497.csv"
"31","2","199091","cd","2","2","9.95647836431035","0","0","2","1","2","3","3","outfjage","38","43","d74558b656c14eadc8487819f374ef9b98d5b497.csv"
"32","3","199098","cd","2","1","12.6128158291054","0","0","2","1","2","3","3","outfjage","38","43","d74558b656c14eadc8487819f374ef9b98d5b497.csv"
"33","1","206189","ud","2","1","11.2796209265837","2","0","0","0","3","3","3","outfjage","39","44","11bb82aefbe744ae86ac15246ec1cb9cd33f9d33.csv"
"34","2","206152","cd","2","2","9.95329714625237","0","0","2","1","2","3","3","outfjage","39","44","11bb82aefbe744ae86ac15246ec1cb9cd33f9d33.csv"
"35","3","206159","cd","2","1","12.6059447069151","0","0","2","1","2","3","3","outfjage","39","44","11bb82aefbe744ae86ac15246ec1cb9cd33f9d33.csv"
"36","1","213229","ud","2","1","11.2796209265837","2","0","0","0","3","3","3","outfjage","40","45","cfb4bfb3a616667fe1d5b24d522ac6f860e1783a.csv"
"37","2","213192","cd","2","2","9.95329714625237","0","0","2","1","2","3","3","outfjage","40","45","cfb4bfb3a616667fe1d5b24d522ac6f860e1783a.csv"
"38","3","213199","cd","2","1","12.6059447069151","0","0","2","1","2","3","3","outfjage","40","45","cfb4bfb3a616667fe1d5b24d522ac6f860e1783a.csv"
"39","1","220269","ud","2","1","11.2796209265837","2","0","0","0","3","3","3","outfjage","41","46","f5f93dad5123fec44c0326e176e5fb0f593c9fd6.csv"
"40","2","220232","cd","2","2","9.95329714625237","0","0","2","1","2","3","3","outfjage","41","46","f5f93dad5123fec44c0326e176e5fb0f593c9fd6.csv"
"41","3","220239","cd","2","1","12.6059447069151","0","0","2","1","2","3","3","outfjage","41","46","f5f93dad5123fec44c0326e176e5fb0f593c9fd6.csv"
"42","1","227309","ud","2","1","11.2796209265837","2","0","0","0","3","3","3","outfjage","42","47","d0d41c8dc0dd78e5e92efb83b60ecf272f4d12e2.csv"
"43","2","227272","cd","2","2","9.95329714625237","0","0","2","1","2","3","3","outfjage","42","47","d0d41c8dc0dd78e5e92efb83b60ecf272f4d12e2.csv"
"44","3","227279","cd","2","1","12.6059447069151","0","0","2","1","2","3","3","outfjage","42","47","d0d41c8dc0dd78e5e92efb83b60ecf272f4d12e2.csv"
"45","1","234466","ud","2","1","11.2790065467633","2","0","0","0","3","3","3","outfjage","43","48","abbc68b030df7b819febd961e6d716575cf10eaa.csv"
"46","2","234429","cd","2","2","9.95243393287766","0","0","2","1","2","3","3","outfjage","43","48","abbc68b030df7b819febd961e6d716575cf10eaa.csv"
"47","3","234436","cd","2","1","12.605579160649","0","0","2","1","2","3","3","outfjage","43","48","abbc68b030df7b819febd961e6d716575cf10eaa.csv"
"48","1","241842","ud","2","1","11.1345819156036","2","0","0","0","3","3","3","outfjage","44","49","0ba6f3911a01302622badd01d8cc7ae70dd69e96.csv"
"49","2","241805","cd","2","2","9.8497117154376","0","0","2","1","2","3","3","outfjage","44","49","0ba6f3911a01302622badd01d8cc7ae70dd69e96.csv"
"50","3","241812","cd","2","1","12.4194521157697","0","0","2","1","2","3","3","outfjage","44","49","0ba6f3911a01302622badd01d8cc7ae70dd69e96.csv"
"51","1","249173","ud","2","1","11.1345819156036","2","0","0","0","3","3","3","outfjage","46","50","88be0c504f98579ab947e7ec6a63debeb18961cf.csv"
"52","2","249136","cd","2","2","9.8497117154376","0","0","2","1","2","3","3","outfjage","46","50","88be0c504f98579ab947e7ec6a63debeb18961cf.csv"
"53","3","249143","cd","2","1","12.4194521157697","0","0","2","1","2","3","3","outfjage","46","50","88be0c504f98579ab947e7ec6a63debeb18961cf.csv"
"54","1","256504","ud","2","1","11.1345819156036","2","0","0","0","3","3","3","outfjage","47","51","92102b58f979310194bc46f2344490203ac1f033.csv"
"55","2","256467","cd","2","2","9.8497117154376","0","0","2","1","2","3","3","outfjage","47","51","92102b58f979310194bc46f2344490203ac1f033.csv"
"56","3","256474","cd","2","1","12.4194521157696","0","0","2","1","2","3","3","outfjage","47","51","92102b58f979310194bc46f2344490203ac1f033.csv"
"57","1","263835","ud","2","1","11.1345819156036","2","0","0","0","3","3","3","outfjage","48","52","ce67275b0d230554fda66401854ab77af937ec43.csv"
"58","2","263798","cd","2","2","9.8497117154376","0","0","2","1","2","3","3","outfjage","48","52","ce67275b0d230554fda66401854ab77af937ec43.csv"
"59","3","263805","cd","2","1","12.4194521157696","0","0","2","1","2","3","3","outfjage","48","52","ce67275b0d230554fda66401854ab77af937ec43.csv"
"60","1","271219","ud","2","1","11.1345819156036","2","0","0","0","3","3","3","outfjage","49","53","1a71e7e4326b54436e24c7aa0932c8576ca70df7.csv"
"61","2","271182","cd","2","2","9.8497117154376","0","0","2","1","2","3","3","outfjage","49","53","1a71e7e4326b54436e24c7aa0932c8576ca70df7.csv"
"62","3","271189","cd","2","1","12.4194521157697","0","0","2","1","2","3","3","outfjage","49","53","1a71e7e4326b54436e24c7aa0932c8576ca70df7.csv"
"63","1","278684","ud","2","1","11.1345819156036","2","0","0","0","3","3","3","outfjage","50","54","3f9bff51d7ef03834fdc322e22a3444682b62a65.csv"
"64","2","278647","cd","2","2","9.8497117154376","0","0","2","1","2","3","3","outfjage","50","54","3f9bff51d7ef03834fdc322e22a3444682b62a65.csv"
"65","3","278654","cd","2","1","12.4194521157697","0","0","2","1","2","3","3","outfjage","50","54","3f9bff51d7ef03834fdc322e22a3444682b62a65.csv"
"66","1","286170","ud","2","1","11.1287825622192","2","0","0","0","3","3","3","outfjage","51","55","a856fe4468f57c8f04d1c7fb4a745217712ac537.csv"
"67","2","286133","cd","2","2","9.84613937185107","0","0","2","1","2","3","3","outfjage","51","55","a856fe4468f57c8f04d1c7fb4a745217712ac537.csv"
"68","3","286140","cd","2","1","12.4114257525874","0","0","2","1","2","3","3","outfjage","51","55","a856fe4468f57c8f04d1c7fb4a745217712ac537.csv"
"69","1","293749","ud","2","1","11.8771430633554","2","0","0","0","3","11","8","outfjage","52","56","5efcb569c5fdf8a8c335da09bf5d5b6efc1afe2c.csv"
"70","2","293729","hl","2","1","36.5753082266833","0","12","0","0","11","11","8","outfjage","52","56","5efcb569c5fdf8a8c335da09bf5d5b6efc1afe2c.csv"
"71","3","293692","cd","2","2","10.6281380933401","0","0","2","1","2","11","8","outfjage","52","56","5efcb569c5fdf8a8c335da09bf5d5b6efc1afe2c.csv"
"72","4","293699","cd","2","1","18.0076014719174","0","0","2","1","2","11","8","outfjage","52","56","5efcb569c5fdf8a8c335da09bf5d5b6efc1afe2c.csv"
"73","1","301946","ud","2","1","11.8762860983068","2","0","0","0","3","11","8","outfjage","53","57","c0c412d06308aec3e53d65517ba54eec467f810b.csv"
"74","2","301926","hl","2","1","36.5726968990562","0","12","0","0","11","11","8","outfjage","53","57","c0c412d06308aec3e53d65517ba54eec467f810b.csv"
"75","3","301889","cd","2","2","10.6275240971574","0","0","2","1","2","11","8","outfjage","53","57","c0c412d06308aec3e53d65517ba54eec467f810b.csv"
"76","4","301896","cd","2","1","18.0063194097374","0","0","2","1","2","11","8","outfjage","53","57","c0c412d06308aec3e53d65517ba54eec467f810b.csv"
"77","1","310087","ud","2","1","11.8778282629111","2","0","0","0","3","11","8","outfjage","54","58","5e69a097e35392a648dde21f462ed1e65dfc622d.csv"
"78","2","310067","hl","2","1","36.6230375297547","0","12","0","0","11","11","8","outfjage","54","58","5e69a097e35392a648dde21f462ed1e65dfc622d.csv"
"79","3","310030","cd","2","2","10.5685037617618","0","0","2","1","2","11","8","outfjage","54","58","5e69a097e35392a648dde21f462ed1e65dfc622d.csv"
"80","4","310037","cd","2","1","13.1871527640604","0","0","2","1","2","11","8","outfjage","54","58","5e69a097e35392a648dde21f462ed1e65dfc622d.csv"
"81","1","318230","ud","2","1","11.8778282629111","2","0","0","0","3","11","8","outfjage","55","59","4340385aa5cf25fbba8749cfc268912bc4962f30.csv"
"82","2","318210","hl","2","1","36.6230375297547","0","12","0","0","11","11","8","outfjage","55","59","4340385aa5cf25fbba8749cfc268912bc4962f30.csv"
"83","3","318173","cd","2","2","10.5685037617618","0","0","2","1","2","11","8","outfjage","55","59","4340385aa5cf25fbba8749cfc268912bc4962f30.csv"
"84","4","318180","cd","2","1","13.1871527640604","0","0","2","1","2","11","8","outfjage","55","59","4340385aa5cf25fbba8749cfc268912bc4962f30.csv"
"85","1","326371","ud","2","1","11.8778282629111","2","0","0","0","3","11","8","outfjage","57","60","4978318314df7a350c2b635868c7e561386e5459.csv"
"86","2","326351","hl","2","1","36.6230375297547","0","12","0","0","11","11","8","outfjage","57","60","4978318314df7a350c2b635868c7e561386e5459.csv"
"87","3","326314","cd","2","2","10.5685037617618","0","0","2","1","2","11","8","outfjage","57","60","4978318314df7a350c2b635868c7e561386e5459.csv"
"88","4","326321","cd","2","1","13.1871527640604","0","0","2","1","2","11","8","outfjage","57","60","4978318314df7a350c2b635868c7e561386e5459.csv"
"89","1","334552","ud","2","1","11.8960556273196","2","0","0","0","3","11","8","outfjage","58","61","2d2930c4b18cb0982ef319119117515ef3f5e73b.csv"
"90","2","334532","hl","2","1","36.6419612570826","0","12","0","0","11","11","8","outfjage","58","61","2d2930c4b18cb0982ef319119117515ef3f5e73b.csv"
"91","3","334495","cd","2","2","10.5903057341539","0","0","2","1","2","11","8","outfjage","58","61","2d2930c4b18cb0982ef319119117515ef3f5e73b.csv"
"92","4","334502","cd","2","1","13.2018055204854","0","0","2","1","2","11","8","outfjage","58","61","2d2930c4b18cb0982ef319119117515ef3f5e73b.csv"
"93","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","1","1","a1bb0349e48b979bd83b06849ed6c63bafd04d2c.csv"
"94","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","2","10","4c68f9af1e74fee733cc3efc808660fa7add5b4d.csv"
"95","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","3","11","5cb258e43f291dbeb7ba5d89d274b60a4a19cbb7.csv"
"96","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","4","12","ee64ca09e300e21132137804630e702ea3457e36.csv"
"97","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","5","13","459a3f2f1b39960636637fc331101cec4d92f113.csv"
"98","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","6","14","05040f6518cea3c1512815206b597918f7a752fd.csv"
"99","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","7","15","51aa47e7fcb5bc53e7d0f3a0d98bc4a5c20cd3c2.csv"
"100","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","8","16","e6d130cedf046e04e91d3f1f0bb77a052fa989c2.csv"
"101","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","9","17","7ddcd28b90a9a1a0a6ee28471d003571381ffe09.csv"
"102","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","10","18","8ee000421d69666a305dd9590c928fa81c31856b.csv"
"103","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","11","19","24994406a699673af509e73eb656d0fdc8d5f7d2.csv"
"104","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","12","2","bc428397bbebc1e86ca3c2277bae40471b8387d7.csv"
"105","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","13","20","3fa5e92d0bef704dcb1b99335b0bf466d1698c52.csv"
"106","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","14","21","990cec232254c732157ed4b9d29c5be63b0ce381.csv"
"107","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","15","22","34c3447950c31320b3f7c968ee41a4329ebd4fd2.csv"
"108","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","16","23","fd99f5442e89b51012b50cf60d158fd04e07ca18.csv"
"109","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","17","24","176a5323fc661ff2846aaea06ef974120b34a18a.csv"
"110","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","18","25","4f07f35a31520711802043c2ed3b4f6ecb02ffcd.csv"
"111","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","19","26","e2c870602b083c13a430109b500b08ea6de8d8ea.csv"
"112","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","20","27","ab4f283be7b88259a454eb9ffd7c60db4c5f12ae.csv"
"113","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","21","28","31cd48d19c87875cb1c4dbf469b3e10116316a3f.csv"
"114","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","22","29","e4f1f6bdd9ff098a8bf259e74c3dcca3a8819288.csv"
"115","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","23","3","4f4ce2eaf0dcc381e714a74e6726365ea7493b32.csv"
"116","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","24","30","0e6a038d5ee2691b9c3e771a0f1624e2819bdb2e.csv"
"117","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","25","31","0763c81259bf6dc5e901b5b6a398b85f8415a982.csv"
"118","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","26","32","858909750bd43581e6dd2dbc6611556de489b3a8.csv"
"119","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","27","33","9500af5f73588c505766c46f5eb22ebac115872c.csv"
"120","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","34","4","f18f7babe21c96980d00f30b8e6655c1cb583f8c.csv"
"121","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","45","5","d9ea74f9ac83560647a59f2725b08caa1f0878b3.csv"
"122","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","56","6","b7b48161a399024f7dbad47615770c48d0dce06c.csv"
"123","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","59","7","eef00c21affbdda8cec99fc6e35b817d93824cab.csv"
"124","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","60","8","d3373a0bce8df195321c1d69b814181367244be2.csv"
"125","0","0","noType","0","0","0","0","0","0","0","0","0","0","outfjage","61","9","a50af4cbcff6ae10b6ad7132a485c2949b1aea30.csv"
