"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"1","1","8801","ud","2","1","4.88799311340688","1","0","0","0","2","2","2","outhmodel","3","21","b4559eab3cb69a8c5383c604ffb5a7b48ffa06ab.csv"
"2","2","8786","cd","2","1","6.30758546080775","0","0","2","1","2","2","2","outhmodel","3","21","b4559eab3cb69a8c5383c604ffb5a7b48ffa06ab.csv"
"3","1","12687","ud","2","1","4.416172391062","1","0","0","0","2","2","2","outhmodel","4","22","989f2a0bc761818d9117f791ee72cef1c14a9e48.csv"
"4","2","12672","cd","2","1","6.06231395269268","0","0","2","1","2","2","2","outhmodel","4","22","989f2a0bc761818d9117f791ee72cef1c14a9e48.csv"
"5","1","23370","ud","2","1","4.63663129166534","1","0","0","0","2","12","5","outhmodel","8","26","1a359aa278467d7a49110ca4ccf5db5b71cbc27a.csv"
"6","2","23355","hl","2","1","13.7453650475939","0","7","0","0","8","12","5","outhmodel","8","26","1a359aa278467d7a49110ca4ccf5db5b71cbc27a.csv"
"7","3","23303","cd","1","2","1.1905190711734","0","0","2","1","2","12","5","outhmodel","8","26","1a359aa278467d7a49110ca4ccf5db5b71cbc27a.csv"
"8","4","23310","cd","1","1","1.23266490450673","0","0","2","1","2","12","5","outhmodel","8","26","1a359aa278467d7a49110ca4ccf5db5b71cbc27a.csv"
"9","5","23317","cd","2","3","6.87702754852447","0","0","2","2","2","12","5","outhmodel","8","26","1a359aa278467d7a49110ca4ccf5db5b71cbc27a.csv"
"10","1","32059","hl","1","1","2.72098266286813","0","11","0","0","13","13","5","outhmodel","11","29","1d700b992da0891e1c91d8d05a98f7207fb59f48.csv"
"11","1","34444","hl","1","1","2.71557501704379","0","11","0","0","13","13","5","outhmodel","13","30","0900db0b3afbcce1dca4addc0429917f5687d998.csv"
"12","1","36850","hl","1","1","2.72892854530566","0","11","0","0","13","13","5","outhmodel","14","31","504b9f55e6c6675557bb5a7d066ae4caeaed071a.csv"
"13","1","39298","hl","1","1","2.73090934005421","0","11","0","0","13","13","5","outhmodel","15","32","1e2379f43fd036b17ebba279167d0a6ee516cad6.csv"
