"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"1",1,4497,"ud",2,2,7.72881420191842,2,0,0,0,3,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"2",2,4506,"ud",2,4,4.52377415650848,1,0,0,0,2,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"3",3,4515,"ud",2,5,10.0104624589336,2,0,0,0,3,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"4",4,4527,"ud",2,3,5.01465525022178,1,0,0,0,2,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"5",5,4539,"ud",2,1,10.3595389128547,2,0,0,0,3,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"6",6,4418,"cd",2,3,12.407864625806,0,0,3,1,3,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"7",7,4426,"cd",2,5,19.6654362925907,0,0,5,1,5,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"8",8,4436,"cd",2,2,7.81915984950785,0,0,2,1,2,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"9",9,4443,"cd",2,6,14.7798585304106,0,0,3,2,3,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"10",10,4451,"cd",2,1,7.36271837465725,0,0,2,1,2,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"11",11,4458,"cd",2,4,12.6037847621138,0,0,4,1,4,9,5,"outjabm",1,"1","28e471080b46dc39c9c6a3ca77c70a94cd43045c.csv"
"12",1,179638,"ud",2,4,7.66103984215985,2,0,0,0,3,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"13",2,179647,"ud",2,3,5.38713019508459,1,0,0,0,2,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"14",3,179656,"ud",2,2,4.57638043875349,1,0,0,0,2,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"15",4,179665,"ud",2,5,10.3949856274627,2,0,0,0,3,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"16",5,179680,"ud",2,1,9.23623965521725,1,0,0,0,2,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"17",6,179546,"cd",2,3,12.5896280889957,0,0,3,1,3,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"18",7,179554,"cd",2,5,21.9284257354175,0,0,5,1,5,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"19",8,179564,"cd",2,2,7.61577800321027,0,0,2,1,2,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"20",9,179571,"cd",2,6,20.8383772439658,0,0,6,1,6,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"21",10,179582,"cd",2,4,18.1059256486418,0,0,4,1,4,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"22",11,179591,"cd",2,7,15.278312035349,0,0,3,2,3,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"23",12,179599,"cd",2,1,7.94664677687637,0,0,2,1,2,8,6,"outjabm",2,"10","4ef76a57c773e033e10fe0705db19ac385f980a1.csv"
"24",1,198351,"ud",2,2,9.23623965521725,1,0,0,0,2,8,7,"outjabm",3,"11","de00c30ad68c87d5ac6fdabdc64d6f107f84c36d.csv"
"25",2,198360,"ud",2,1,7.66103984215985,2,0,0,0,3,8,7,"outjabm",3,"11","de00c30ad68c87d5ac6fdabdc64d6f107f84c36d.csv"
"26",3,198369,"ud",2,4,5.38713019508459,1,0,0,0,2,8,7,"outjabm",3,"11","de00c30ad68c87d5ac6fdabdc64d6f107f84c36d.csv"
"27",4,198378,"ud",2,3,4.57638043875349,1,0,0,0,2,8,7,"outjabm",3,"11","de00c30ad68c87d5ac6fdabdc64d6f107f84c36d.csv"
"28",5,198387,"ud",2,5,10.3949856274627,2,0,0,0,3,8,7,"outjabm",3,"11","de00c30ad68c87d5ac6fdabdc64d6f107f84c36d.csv"
"29",6,198259,"cd",2,3,12.5896280889957,0,0,3,1,3,8,7,"outjabm",3,"11","de00c30ad68c87d5ac6fdabdc64d6f107f84c36d.csv"
