"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"1",1,2511,"ud",2,1,7.5246430176259,1,0,0,0,2,4,2,"outsof",1,"1","1a13b00337094f99ac43a2707589e5ec31e41183.csv"
"2",2,2496,"cd",1,1,0.983828451882845,0,0,2,1,2,4,2,"outsof",1,"1","1a13b00337094f99ac43a2707589e5ec31e41183.csv"
"3",1,96632,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",2,"10","79eb51ba786d2b20de429e15061a01aa43017b19.csv"
"4",2,96641,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",2,"10","79eb51ba786d2b20de429e15061a01aa43017b19.csv"
"5",3,96602,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",2,"10","79eb51ba786d2b20de429e15061a01aa43017b19.csv"
"6",4,96609,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",2,"10","79eb51ba786d2b20de429e15061a01aa43017b19.csv"
"7",1,107356,"ud",2,1,6.23416137602144,1,0,0,0,2,6,3,"outsof",3,"11","6d20a9497d29fd96c393be494e7c18324f5c0f6f.csv"
"8",2,107365,"ud",2,2,6.25974801868483,1,0,0,0,2,6,3,"outsof",3,"11","6d20a9497d29fd96c393be494e7c18324f5c0f6f.csv"
"9",3,107326,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",3,"11","6d20a9497d29fd96c393be494e7c18324f5c0f6f.csv"
"10",4,107333,"cd",2,1,9.77454388419363,0,0,2,1,2,6,3,"outsof",3,"11","6d20a9497d29fd96c393be494e7c18324f5c0f6f.csv"
"11",1,118118,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",4,"12","b180ee96a3db995e193da3dc1cc47cf4d351425d.csv"
"12",2,118127,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",4,"12","b180ee96a3db995e193da3dc1cc47cf4d351425d.csv"
"13",3,118088,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",4,"12","b180ee96a3db995e193da3dc1cc47cf4d351425d.csv"
"14",4,118095,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",4,"12","b180ee96a3db995e193da3dc1cc47cf4d351425d.csv"
"15",1,128820,"ud",2,1,6.23442902358331,1,0,0,0,2,6,3,"outsof",5,"13","456e2eba550370a07bd639b589f044b979a905a4.csv"
"16",2,128829,"ud",2,2,6.25777682531691,1,0,0,0,2,6,3,"outsof",5,"13","456e2eba550370a07bd639b589f044b979a905a4.csv"
"17",3,128790,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",5,"13","456e2eba550370a07bd639b589f044b979a905a4.csv"
"18",4,128797,"cd",2,1,9.77499278177182,0,0,2,1,2,6,3,"outsof",5,"13","456e2eba550370a07bd639b589f044b979a905a4.csv"
"19",1,12030,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",6,"2","e873de59d9a376d90f8a639deff52af7b32d9f4e.csv"
"20",2,12039,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",6,"2","e873de59d9a376d90f8a639deff52af7b32d9f4e.csv"
"21",3,12000,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",6,"2","e873de59d9a376d90f8a639deff52af7b32d9f4e.csv"
"22",4,12007,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",6,"2","e873de59d9a376d90f8a639deff52af7b32d9f4e.csv"
"23",1,22536,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",7,"3","80cafa4e2003bfd4f8f3426487634f710c07a489.csv"
"24",2,22545,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",7,"3","80cafa4e2003bfd4f8f3426487634f710c07a489.csv"
"25",3,22506,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",7,"3","80cafa4e2003bfd4f8f3426487634f710c07a489.csv"
"26",4,22513,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",7,"3","80cafa4e2003bfd4f8f3426487634f710c07a489.csv"
"27",1,33042,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",8,"4","8b73c4de4e6d970cb04b2a86dfab5bc791b85e89.csv"
"28",2,33051,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",8,"4","8b73c4de4e6d970cb04b2a86dfab5bc791b85e89.csv"
"29",3,33012,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",8,"4","8b73c4de4e6d970cb04b2a86dfab5bc791b85e89.csv"
"30",4,33019,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",8,"4","8b73c4de4e6d970cb04b2a86dfab5bc791b85e89.csv"
"31",1,43563,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",9,"5","72a6bba772869d1205b5646d35fa27fcffc2aae5.csv"
"32",2,43572,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",9,"5","72a6bba772869d1205b5646d35fa27fcffc2aae5.csv"
"33",3,43533,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",9,"5","72a6bba772869d1205b5646d35fa27fcffc2aae5.csv"
"34",4,43540,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",9,"5","72a6bba772869d1205b5646d35fa27fcffc2aae5.csv"
"35",1,54084,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",10,"6","d1e9d3404295bf94d9258825dba3bd7e15f9b95e.csv"
"36",2,54093,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",10,"6","d1e9d3404295bf94d9258825dba3bd7e15f9b95e.csv"
"37",3,54054,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",10,"6","d1e9d3404295bf94d9258825dba3bd7e15f9b95e.csv"
"38",4,54061,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",10,"6","d1e9d3404295bf94d9258825dba3bd7e15f9b95e.csv"
"39",1,64590,"ud",2,1,6.26124348941294,1,0,0,0,2,6,3,"outsof",11,"7","20dc3d520068a402e28834eb120b41c5415ca2b3.csv"
"40",2,64599,"ud",2,2,6.01527117714791,1,0,0,0,2,6,3,"outsof",11,"7","20dc3d520068a402e28834eb120b41c5415ca2b3.csv"
"41",3,64560,"cd",1,2,0.983828451882845,0,0,2,1,2,6,3,"outsof",11,"7","20dc3d520068a402e28834eb120b41c5415ca2b3.csv"
"42",4,64567,"cd",2,1,9.81315287332654,0,0,2,1,2,6,3,"outsof",11,"7","20dc3d520068a402e28834eb120b41c5415ca2b3.csv"
